WS_ID,Yahoo_Symbol,History_State,History_Source,Unique_Bars,Valid_Bars,First_Bar,Last_Bar,Future,Duplicates,Dup_Source,Pass_260,Pass_252,Bar_QA_Status,Eligibility_DryRun,Sqlite_Used
WS:ISIN:KYG022421088,3661.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:KYG114741062,3665.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:KYG989221000,4958.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0001216000,1216.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0001303006,1303.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0002059003,2059.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0002301009,2301.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0002303005,2303.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0002308004,2308.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0002317005,2317.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
WS:ISIN:TW0002327004,2327.TW,PASS_HISTORY_CURRENT,v0.38,484,484,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,YES,YES,PASS_BAR_QA,PASS_STRICT_CANDIDATE,NO
