Security_Key,Source_WS_ID,Evidence_Cohort,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Evidence_Artifact
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,BASE_1633,XTAI,2327,2327.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,BASE_1633,XTAI,2330,2330.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,BASE_1633,XTAI,2344,2344.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,BASE_1633,XTAI,2345,2345.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,BASE_1633,XTAI,2357,2357.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,BASE_1633,XTAI,2360,2360.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,BASE_1633,XTAI,2368,2368.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,BASE_1633,XTAI,2382,2382.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,BASE_1633,XTAI,2383,2383.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,BASE_1633,XTAI,2395,2395.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,BASE_1633,XTAI,2408,2408.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,BASE_1633,XTAI,2412,2412.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,BASE_1633,XTAI,2449,2449.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,BASE_1633,XTAI,2454,2454.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,BASE_1633,XTAI,2603,2603.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,BASE_1633,XTAI,2880,2880.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,BASE_1633,XTAI,2881,2881.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,BASE_1633,XTAI,2882,2882.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,BASE_1633,XTAI,2883,2883.TW,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
