Primary_Ticker_Candidate,Security_Name_Official,B3_Type,Theoretical_Quantity,Participation_Pct,Segment_ID,Primary_MIC_Candidate,Source_ID,Source_URL,Source_AsOf_Observed_UTC,Canonical_Import_v0_30,Identity_Reconciliation_Required
ORVR3,ORIZON,ON      NM,217.599.492,"0,135",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864550+00:00,False,True
PETR3,PETROBRAS,ON  EDJ N2,3.478.483.761,"6,363",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864554+00:00,False,True
PETR4,PETROBRAS,PN  EDJ N2,4.410.960.450,"7,283",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864558+00:00,False,True
RECV3,PETRORECSA,ON      NM,274.624.898,"0,111",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864561+00:00,False,True
AUAU3,PETZCOBASI,ON      NM,205.617.553,"0,026",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864564+00:00,False,True
PSSA3,PORTO SEGURO,ON      NM,178.825.403,"0,331",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864568+00:00,False,True
PRIO3,PRIO,ON      NM,757.265.605,"1,738",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864571+00:00,False,True
RADL3,RAIADROGASIL,ON      NM,1.313.915.830,"0,965",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864575+00:00,False,True
RAPT4,RANDON PART,PN      N1,176.793.154,"0,032",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864578+00:00,False,True
RDOR3,REDE D OR,ON      NM,1.091.469.308,"1,467",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864582+00:00,False,True
RAIL3,RUMO S.A.,ON      NM,1.221.155.293,"0,689",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864585+00:00,False,True
SBSP3,SABESP,ON      NM,3.506.733.260,"3,356",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864589+00:00,False,True
SAPR11,SANEPAR,UNT     N2,201.077.478,"0,253",BR_IBRX100,BVMF,B3_OFFICIAL_INDEXPROXY_GETPORTFOLIODAY,https://sistemaswebb3-listados.b3.com.br/indexProxy/indexCall/GetPortfolioDay/eyJsYW5ndWFnZSI6InB0LWJyIiwicGFnZU51bWJlciI6MSwicGFnZVNpemUiOjIwMCwiaW5kZXgiOiJJQlhYIiwic2VnbWVudCI6IjEifQ==,2026-08-29T14:13:40.864593+00:00,False,True
