WS_ID,Yahoo_Symbol,Primary_Ticker_Source,Primary_Ticker_Resolved_Candidate,Reason,Verified_UTC
WS:SRC:ZA_TOP40:856ED7B9E6CBDE42,GLN.JO,,GLN,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:11.379890+00:00
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,EXX.JO,,EXX,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:11.801625+00:00
WS:SRC:ZA_TOP40:9CADEA732F4AE055,REM.JO,,REM,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:12.023968+00:00
WS:SRC:ZA_TOP40:C46C9A1E2438665A,AGL.JO,,AGL,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:13.090777+00:00
WS:SRC:ZA_TOP40:CBBAA587AD49B821,SHP.JO,,SHP,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:13.793042+00:00
WS:SRC:ZA_TOP40:D7462C43096E07C0,RNI.JO,,RNI,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:14.226426+00:00
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,OMU.JO,,OMU,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:14.435741+00:00
WS:SRC:ZA_TOP40:E375AA9FC9B15D90,MRP.JO,,MRP,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:14.865542+00:00
WS:SRC:ZA_TOP40:E73C0A06AFFB5795,NPH.JO,,NPH,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:15.076032+00:00
WS:SRC:ZA_TOP40:EAB90E933A288100,NPN.JO,,NPN,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:15.287465+00:00
WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,MTN.JO,,MTN,SECOND_PASS_REVALIDATED_JSE,2026-08-23T22:05:15.934324+00:00
