WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XASX:LOV,Lovisa,AU_ASX200,Australia,XASX,LOV,LOV.AX,DERIVED_RULE,LOV.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:LSF,L1 Long Short Fund,AU_ASX200,Australia,XASX,LSF,LSF.AX,DERIVED_RULE,LSF.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:LTR,Liontown Resources,AU_ASX200,Australia,XASX,LTR,LTR.AX,DERIVED_RULE,LTR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:LYC,Lynas Rare Earths,AU_ASX200,Australia,XASX,LYC,LYC.AX,DERIVED_RULE,LYC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MCY,Mercury NZ,AU_ASX200,Australia,XASX,MCY,MCY.AX,DERIVED_RULE,MCY.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MEZ,Meridian Energy,AU_ASX200,Australia,XASX,MEZ,MEZ.AX,DERIVED_RULE,MEZ.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MFF,MFF Capital Investments,AU_ASX200,Australia,XASX,MFF,MFF.AX,DERIVED_RULE,MFF.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MFG,Magellan Financial Group,AU_ASX200,Australia,XASX,MFG,MFG.AX,DERIVED_RULE,MFG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MGR,Mirvac,AU_ASX200,Australia,XASX,MGR,MGR.AX,DERIVED_RULE,MGR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MIN,Mineral Resources,AU_ASX200,Australia,XASX,MIN,MIN.AX,DERIVED_RULE,MIN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MND,Monadelphous Group,AU_ASX200,Australia,XASX,MND,MND.AX,DERIVED_RULE,MND.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MPL,Medibank,AU_ASX200,Australia,XASX,MPL,MPL.AX,DERIVED_RULE,MPL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MQG,Macquarie Group,AU_ASX200,Australia,XASX,MQG,MQG.AX,DERIVED_RULE,MQG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MSB,Mesoblast,AU_ASX200,Australia,XASX,MSB,MSB.AX,DERIVED_RULE,MSB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MTS,Metcash,AU_ASX200,Australia,XASX,MTS,MTS.AX,DERIVED_RULE,MTS.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:MXT,Metrics Master Income Trust,AU_ASX200,Australia,XASX,MXT,MXT.AX,DERIVED_RULE,MXT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NAB,National Australia Bank,AU_ASX200,Australia,XASX,NAB,NAB.AX,DERIVED_RULE,NAB.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NEM,Newmont,AU_ASX200,Australia,XASX,NEM,NEM.AX,DERIVED_RULE,NEM.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NHC,New Hope,AU_ASX200,Australia,XASX,NHC,NHC.AX,DERIVED_RULE,NHC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NHF,Nib,AU_ASX200,Australia,XASX,NHF,NHF.AX,DERIVED_RULE,NHF.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NIC,Nickel Industries,AU_ASX200,Australia,XASX,NIC,NIC.AX,DERIVED_RULE,NIC.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NSR,National Storage,AU_ASX200,Australia,XASX,NSR,NSR.AX,DERIVED_RULE,NSR.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NST,Northern Star Resources,AU_ASX200,Australia,XASX,NST,NST.AX,DERIVED_RULE,NST.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NWH,NRW Holdings,AU_ASX200,Australia,XASX,NWH,NWH.AX,DERIVED_RULE,NWH.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NWL,Netwealth Group,AU_ASX200,Australia,XASX,NWL,NWL.AX,DERIVED_RULE,NWL.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NWS,News Corp Class B,AU_ASX200,Australia,XASX,NWS,NWS.AX,DERIVED_RULE,NWS.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NXG,Nexgen Energy,AU_ASX200,Australia,XASX,NXG,NXG.AX,DERIVED_RULE,NXG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:NXT,NextDC,AU_ASX200,Australia,XASX,NXT,NXT.AX,DERIVED_RULE,NXT.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:OBM,Ora Banda Mining,AU_ASX200,Australia,XASX,OBM,OBM.AX,DERIVED_RULE,OBM.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ORA,Orora,AU_ASX200,Australia,XASX,ORA,ORA.AX,DERIVED_RULE,ORA.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ORG,Origin Energy,AU_ASX200,Australia,XASX,ORG,ORG.AX,DERIVED_RULE,ORG.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:ORI,Orica,AU_ASX200,Australia,XASX,ORI,ORI.AX,DERIVED_RULE,ORI.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:PDI,Predictive Discovery,AU_ASX200,Australia,XASX,PDI,PDI.AX,DERIVED_RULE,PDI.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:PDN,Paladin Energy,AU_ASX200,Australia,XASX,PDN,PDN.AX,DERIVED_RULE,PDN.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:PLS,PLS Group,AU_ASX200,Australia,XASX,PLS,PLS.AX,DERIVED_RULE,PLS.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
WS:XASX:PME,Pro Medicus,AU_ASX200,Australia,XASX,PME,PME.AX,DERIVED_RULE,PME.AX,DERIVED_RULE,CARRY_FORWARD,False,,,,,,,,False,False,False
