WS_ID,Name,Primary_Universe_Index,Country,Primary_MIC,Primary_Ticker_Source,Yahoo_Symbol_Before,Yahoo_Status_Before,Yahoo_Symbol_After,Yahoo_Status_After,Remediation_Method,Changed,Detail_Reason,Detail_Result_Name,Detail_Exchange,Detail_Name_Score,Detail_Margin,Detail_Candidate_Count,Canonical_WS_ID_Candidate,Provider_Unresolved,Same_Venue_Duplicate_Review,Needs_Review
WS:XSTO:TRELB.ST,TRELLEBORG B,EU_STOXX600,SE,XSTO,TRELb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSTO:VOLVB.ST,VOLVO B,EU_STOXX600,SE,XSTO,VOLVb.ST,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSWX:ALCC.S,ALCON,EU_STOXX600,CH,XSWX,ALCC.S,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSWX:COTNE.S,COMET HOLDINGS 'R',EU_STOXX600,CH,XSWX,COTNE.S,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSWX:HBANC.S,HELVETIA BALOISE HLDG,EU_STOXX600,CH,XSWX,HBANC.S,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSWX:ROPC.S,ROCHE PS,EU_STOXX600,CH,XSWX,ROPC.S,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XSWX:SRENH.S,SWISS REINSURANCE COMPANY,EU_STOXX600,CH,XSWX,SRENH.S,,SEARCH_NO_QUOTES,,SEARCH_NO_QUOTES,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XWBO:OMVV.VI,OMV,EU_STOXX600,AT,XWBO,OMVV.VI,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,EU_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMEX:ALFAA,ALFA,MX_IPC,Mexico,XMEX,ALFA A,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,MX_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMEX:FEMSAUBD,FEMSA,MX_IPC,Mexico,XMEX,FEMSA UBD,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,MX_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMEX:GFINBURO,Inbursa,MX_IPC,Mexico,XMEX,GFINBUR O,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,MX_REVIEW_REQUIRED,,,,,,,True,False,True
WS:XMEX:GFNORTEO,Banorte,MX_IPC,Mexico,XMEX,GFNORTE O,,SEARCH_AMBIGUOUS,,SEARCH_AMBIGUOUS,CARRY_FORWARD,False,MX_REVIEW_REQUIRED,,,,,,,True,False,True
