WS_ID,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Security_Name,Instrument_Type,Source_AsOf_Official,Price_AsOf,Valid_Sessions,MedianTurnover20_BRL,MedianTurnover20_EUR,EURBRL_AsOf,Liquidity_Class,Data_Quality_State,Provider,Mapping_State,Turnover_Method,Eligibility_Promotion_v0_32,Canonical_Master_Import_v0_32
WS:BVMF:RENT3,BVMF,RENT3,RENT3.SA,LOCALIZA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,333771944.51,55608570.36,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SAUD3,BVMF,SAUD3,SAUD3.SA,BRADSAUDE,ORDINARY_SHARE,2026-08-31,2026-08-27,83,54804412.28,9232631.87,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SBSP3,BVMF,SBSP3,SBSP3.SA,SABESP,ORDINARY_SHARE,2026-08-31,2026-08-27,83,388966947.36,66162821.44,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SIMH3,BVMF,SIMH3,SIMH3.SA,SIMPAR,ORDINARY_SHARE,2026-08-31,2026-08-27,83,15839779.76,2666446.16,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SLCE3,BVMF,SLCE3,SLCE3.SA,SLC AGRICOLA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,32960327.46,5553289.79,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SMFT3,BVMF,SMFT3,SMFT3.SA,SMART FIT,ORDINARY_SHARE,2026-08-31,2026-08-27,83,138320750.21,23118177.26,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SMTO3,BVMF,SMTO3,SMTO3.SA,SAO MARTINHO,ORDINARY_SHARE,2026-08-31,2026-08-27,83,29004236.43,4949556.98,2026-08-27,FAIL_LIQUIDITY,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:SUZB3,BVMF,SUZB3,SUZB3.SA,SUZANO S.A.,ORDINARY_SHARE,2026-08-31,2026-08-27,83,324356822.96,54280412.07,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:TEND3,BVMF,TEND3,TEND3.SA,TENDA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,84020949.04,14033400.74,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:TIMS3,BVMF,TIMS3,TIMS3.SA,TIM,ORDINARY_SHARE,2026-08-31,2026-08-27,83,143543211.63,23963042.45,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:TOTS3,BVMF,TOTS3,TOTS3.SA,TOTVS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,116471624.74,19602671.73,2026-08-27,PASS_STANDARD,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:UGPA3,BVMF,UGPA3,UGPA3.SA,ULTRAPAR,ORDINARY_SHARE,2026-08-31,2026-08-27,83,343966085.69,57943717.36,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:VALE3,BVMF,VALE3,VALE3.SA,VALE,ORDINARY_SHARE,2026-08-31,2026-08-27,83,1411912587.39,235433878.37,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:VAMO3,BVMF,VAMO3,VAMO3.SA,VAMOS,ORDINARY_SHARE,2026-08-31,2026-08-27,83,37555369.43,6303628.93,2026-08-27,LOW_LIQUIDITY_EXCEPTION_POOL,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
WS:BVMF:VBBR3,BVMF,VBBR3,VBBR3.SA,VIBRA,ORDINARY_SHARE,2026-08-31,2026-08-27,83,281198747.59,46979158.59,2026-08-27,PASS_PREFERRED,READY,YFINANCE_FREE,RESOLVED_FORMAT_AND_OHLCV,PRICE_X_VOLUME_TURNOVER_APPROXIMATION,False,False
