WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XETR:VOWG_P.DE,VOLKSWAGEN PREF,VOWG_p.DE,,VOW3.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XETR:ZALG.DE,ZALANDO,ZALG.DE,,ZAL.DE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XHEL:KCRA.HE,KONECRANES,KCRA.HE,,KCR.HE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XHEL:NDAFI.HE,NORDEA BANK,NDAFI.HE,,NDA-FI.HE,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:ADML.L,ADMIRAL GRP,ADML.L,,ADM.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:AUTOA.L,AUTOTRADER GROUP,AUTOA.L,,AUTO.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:BALF.L,BALFOUR BEATTY,BALF.L,,BBY.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:BBOXT.L,TRITAX BIG BOX REIT,BBOXT.L,,BBOX.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:BEZG.L,BEAZLEY,BEZG.L,,BEZ.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:BKGH.L,BERKELEY GRP HLDG,BKGH.L,,BKG.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:BPTB.L,BRIDGEPOINT GROUP,BPTB.L,,BPT.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:BT.L,BT GRP,BT.L,,BT-A.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:HOCM.L,HOCHSCHILD MINING,HOCM.L,,HOC.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:ICAG.L,IAG,ICAG.L,,IAG.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:ICGIN.L,ICG,ICGIN.L,,ICG.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:MRON.L,MELROSE INDUSTRIES,MRON.L,,MRO.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:PAFR.L,PAN AFRICAN RESOURCES,PAFR.L,,PAF.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:PLUSP.L,PLUS500,PLUSP.L,,PLUS.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:RS1R.L,RS Group,RS1R.L,,RS1.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:SHCS.L,SHAFTESBURY CAPITAL,SHCS.L,,SHC.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:SJP.L,ST.JAMES'S PLACE CAPITAL,SJP.L,,STJ.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XLON:TCAPI.L,TP ICAP,TCAPI.L,,TCAP.L,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XMAD:AMA.MC,AMADEUS IT GROUP,AMA.MC,,AMS.MC,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
