WS_ID,Yahoo_Symbol,Name,Primary_MIC,Liquidity_Class,MedianTurnover20_EUR,Verified_Share_Class,Instrument_Bucket,Eligibility_DryRun,Universe_Write
WS:XLON:ICAG.L,IAG.L,IAG,XLON,PREFERRED,37950063.14,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:ICGIN.L,ICG.L,ICG,XLON,STANDARD,16143130.19,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:MRON.L,MRO.L,MELROSE INDUSTRIES,XLON,PREFERRED,20294081.81,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XLON:SJP.L,STJ.L,ST.JAMES'S PLACE CAPITAL,XLON,PREFERRED,27312332.82,ordinary shares,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMAD:AMA.MC,AMS.MC,AMADEUS IT GROUP,XMAD,PREFERRED,29190654.56,ordinary shares / acciones ordinarias,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMAD:SABE.MC,SAB.MC,BCO SABADELL,XMAD,PREFERRED,57300037.35,ordinary shares / acciones ordinarias,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:A2.MI,A2A.MI,A2A,XMIL,STANDARD,15774108.29,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:EMII.MI,BPE.MI,BPER Banca,XMIL,PREFERRED,59244598.89,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:CPRI.MI,CPR.MI,DAVIDE CAMPARI,XMIL,PREFERRED,24278902.38,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:ENEI.MI,ENEL.MI,ENEL,XMIL,PREFERRED,147590829.03,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:GASI.MI,G.MI,ASSICURAZIONI GENERALI,XMIL,PREFERRED,73604035.45,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:HRA.MI,HER.MI,HERA,XMIL,STANDARD,16335572.99,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:LDOF.MI,LDO.MI,LEONARDO,XMIL,PREFERRED,89535058.44,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:NEXII.MI,NEXI.MI,NEXI SPA,XMIL,PREFERRED,31563415.02,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:SPMI.MI,SPM.MI,SAIPEM,XMIL,PREFERRED,71216876.42,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:TENR.MI,TEN.MI,TENARIS,XMIL,PREFERRED,33758780.9,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:TLIT.MI,TIT.MI,TELECOM ITALIA,XMIL,PREFERRED,49164112.87,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:CRDI.MI,UCG.MI,UNICREDIT,XMIL,PREFERRED,241324342.3,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XMIL:UNPI.MI,UNI.MI,UNIPOL ASSICURAZIONI,XMIL,PREFERRED,32801916.87,ordinary shares / azioni ordinarie,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:ACCP.PA,AC.PA,ACCOR,XPAR,PREFERRED,28865522.03,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CAGR.PA,ACA.PA,CREDIT AGRICOLE,XPAR,PREFERRED,74177800.3,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:AIRP.PA,AI.PA,AIR LIQUIDE,XPAR,PREFERRED,96532641.01,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:DANO.PA,BN.PA,DANONE,XPAR,PREFERRED,60494420.91,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:BNPP.PA,BNP.PA,BNP PARIBAS,XPAR,PREFERRED,158113644.94,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CARR.PA,CA.PA,CARREFOUR,XPAR,PREFERRED,23358554.37,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:CAPP.PA,CAP.PA,CAP GEMINI,XPAR,PREFERRED,40679176.96,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:AXAF.PA,CS.PA,AXA,XPAR,PREFERRED,91434329.16,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:SGEF.PA,DG.PA,VINCI,XPAR,PREFERRED,90365706.75,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:DAST.PA,DSY.PA,DASSAULT SYSTEMS,XPAR,PREFERRED,34749372.58,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:ESLX.PA,EL.PA,ESSILORLUXOTTICA,XPAR,PREFERRED,98719619.17,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:BOUY.PA,EN.PA,BOUYGUES,XPAR,PREFERRED,25593080.38,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:ENGIE.PA,ENGI.PA,ENGIE,XPAR,PREFERRED,76955910.05,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:FOUG.PA,FGR.PA,EIFFAGE,XPAR,PREFERRED,27059556.14,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:SOGN.PA,GLE.PA,GRP SOCIETE GENERALE,XPAR,PREFERRED,133956766.46,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:TCFP.PA,HO.PA,THALES,XPAR,PREFERRED,48598307.33,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:PRTP.PA,KER.PA,Kering,XPAR,PREFERRED,69999022.29,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
WS:XPAR:LOIM.PA,LI.PA,KLEPIERRE,XPAR,STANDARD,15653938.28,ordinary shares / actions ordinaires,ORDINARY_LIKE,PASS_STRICT_CANDIDATE,NO
