WS_ID,Gap_Family,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Source_State,Source_Reason,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Static_Symbol_Relation,Diagnostic_Classification,Disposition,Recommended_Action,Auto_Fix_Safe,Candidate_Override,Terminal_Blocked,Network_Required_For_Next_Step
WS:XETR:DBKGN.DE,MAPPING,EU_STOXX600,XETR,DBKGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,DBKGn.DE,DBKGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:DHLN.DE,MAPPING,EU_STOXX600,XETR,DHLn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,DHLn.DE,DHLN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:DTEGN.DE,MAPPING,EU_STOXX600,XETR,DTEGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,DTEGn.DE,DTEGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:DTGGE.DE,MAPPING,EU_STOXX600,XETR,DTGGe.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,DTGGe.DE,DTGGE.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:ENR1N.DE,MAPPING,EU_STOXX600,XETR,ENR1n.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,ENR1n.DE,ENR1N.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:EONGN.DE,MAPPING,EU_STOXX600,XETR,EONGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,EONGn.DE,EONGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:EVDG.DE,MAPPING,EU_STOXX600,XETR,EVDG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,EVDG.DE,EVDG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:EVKN.DE,MAPPING,EU_STOXX600,XETR,EVKn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,EVKn.DE,EVKN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:FMEG.DE,MAPPING,EU_STOXX600,XETR,FMEG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,FMEG.DE,FMEG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:FNTGN.DE,MAPPING,EU_STOXX600,XETR,FNTGn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,FNTGn.DE,FNTGN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:FPE3_P.DE,MAPPING,EU_STOXX600,XETR,FPE3_p.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,FPE3_p.DE,FPE3_P.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
WS:XETR:FRAG.DE,MAPPING,EU_STOXX600,XETR,FRAG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,FRAG.DE,FRAG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:FREG.DE,MAPPING,EU_STOXX600,XETR,FREG.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,FREG.DE,FREG.DE,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,RETRY_DATA,CONTROLLED_RETRY_SAME_PROVIDER_SYMBOL_ONLY,False,,False,True
WS:XETR:FTKN.DE,MAPPING,EU_STOXX600,XETR,FTKn.DE,EUR,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,FTKn.DE,FTKN.DE,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MANUAL_REVIEW,VERIFY_PRIMARY_LISTING_AND_PROVIDER_CASE_BEFORE_EXPLICIT_OVERRIDE,False,,False,True
