WS_ID,ISIN,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Issuer,MedianTurnover20_EUR,Note
US1:US4932671088:XNYS,US4932671088,XNYS,KEY,KEY,KeyBank,178298719.1,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US49338L1035:XNYS,US49338L1035,XNYS,KEYS,KEYS,Keysight Technologies,300588422.96,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4943681035:XNYS,US4943681035,XNYS,KMB,KMB,Kimberly-Clark,271375483.81,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US49456B1017:XNYS,US49456B1017,XNYS,KMI,KMI,Kinder Morgan,257847689.76,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US4824801009:XNAS,US4824801009,XNAS,KLAC,KLAC,KLA Corporation,1453783883.64,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5007541064:XNAS,US5007541064,XNAS,KHC,KHC,Kraft Heinz,301670579.15,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5010441013:XNYS,US5010441013,XNYS,KR,KR,Kroger,271302259.98,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5024311095:XNYS,US5024311095,XNYS,LHX,LHX,L3Harris Technologies,337234629.95,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5178341070:XNYS,US5178341070,XNYS,LVS,LVS,Las Vegas Sands,158694264.93,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5253271028:XNYS,US5253271028,XNYS,LDOS,LDOS,Leidos,143815700.24,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5260571048:XNYS,US5260571048,XNYS,LEN,LEN,Lennar Corporation,157882931.63,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5261071071:XNYS,US5261071071,XNYS,LII,LII,Lennox International,148068451.45,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5324571083:XNYS,US5324571083,XNYS,LLY,LLY,Eli Lilly and Company,2492969749.7,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5380341090:XNYS,US5380341090,XNYS,LYV,LYV,Live Nation Entertainment,255979669.71,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5398301094:XNYS,US5398301094,XNYS,LMT,LMT,Lockheed Martin,484323568.01,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5404241086:XNYS,US5404241086,XNYS,L,L,Loews Corporation,56894038.67,CLASS_A_CANDIDATE_NOT_UNIVERSE
US1:US5486611073:XNYS,US5486611073,XNYS,LOW,LOW,Lowe's,531425281.36,CLASS_A_CANDIDATE_NOT_UNIVERSE
