WS_ID,Ticker,ISIN,MIC,Instrument,Membership,IVV_ISIN,Identity,History,Liquidity,Eligibility,Canonical,Integration_Class,HONA
US1:US25746U1097:XNYS,D,US25746U1097,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US25746U1097,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US25754A2015:XNYS,DPZ,US25754A2015,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US25754A2015,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2600031080:XNYS,DOV,US2600031080,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2600031080,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US23331A1097:XNYS,DHI,US23331A1097,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US23331A1097,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US26441C2044:XNYS,DUK,US26441C2044,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US26441C2044,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2635341090:XNYS,DD,US2635341090,XNYS,COMMON_STOCK,MEMBERSHIP_CONFLICT,US26614N2018,PASS,PASS,PREFERRED,ELIGIBLE,PASS,B,NO
US1:US2786421030:XNAS,EBAY,US2786421030,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2786421030,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2787681061:XNAS,ECHO,US2787681061,XNAS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2787681061,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2788651006:XNYS,ECL,US2788651006,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2788651006,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2810201077:XNYS,EIX,US2810201077,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2810201077,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US28176E1082:XNYS,EW,US28176E1082,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US28176E1082,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US0367521038:XNYS,ELV,US0367521038,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US0367521038,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US29084Q1004:XNYS,EME,US29084Q1004,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US29084Q1004,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2910111044:XNYS,EMR,US2910111044,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2910111044,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US29364G1031:XNYS,ETR,US29364G1031,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US29364G1031,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US26875P1012:XNYS,EOG,US26875P1012,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US26875P1012,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US26884L1098:XNYS,EQT,US26884L1098,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US26884L1098,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
US1:US2944291051:XNYS,EFX,US2944291051,XNYS,COMMON_STOCK,MEMBERSHIP_VERIFIED,US2944291051,PASS,PASS,PREFERRED,ELIGIBLE,PASS,A,NO
