Security_Key,Source_WS_ID,Price_Cache_Status,Reason_Code,Unique_Bars,Valid_Bars,Strict_Invalid_Bars,Suspicious_Returns,Repaired_Rows,Zero_Volume_Share,First_Bar_Date,Last_Bar_Date,Currency_Binding,Provider_Symbol,Source
WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2891.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,2892.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003008009,WS:ISIN:TW0003008009,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3008.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003017000,WS:ISIN:TW0003017000,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3017.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003037008,WS:ISIN:TW0003037008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3037.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003045001,WS:ISIN:TW0003045001,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3045.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003231007,WS:ISIN:TW0003231007,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3231.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003443008,WS:ISIN:TW0003443008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3443.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0003653002,WS:ISIN:TW0003653002,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,3653.TW,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:ISIN:TW0004904008,WS:ISIN:TW0004904008,READY,,492,492,0,0,0,0.0020325203252032522,2024-09-16,2026-09-24,TWD,4904.TW,YFINANCE_FREE_REFRESH_V0_45
