Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Data_Source,Source_Run_Provenance,Downloaded_In_v0_45
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,2882,2882.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,2883,2883.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,2884,2884.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,2885,2885.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,2886,2886.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,2887,2887.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,2890,2890.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,XTAI,2891,2891.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,XTAI,2892,2892.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003008009,WS:ISIN:TW0003008009,XTAI,3008,3008.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003017000,WS:ISIN:TW0003017000,XTAI,3017,3017.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003037008,WS:ISIN:TW0003037008,XTAI,3037,3037.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003045001,WS:ISIN:TW0003045001,XTAI,3045,3045.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003231007,WS:ISIN:TW0003231007,XTAI,3231,3231.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003443008,WS:ISIN:TW0003443008,XTAI,3443,3443.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0003653002,WS:ISIN:TW0003653002,XTAI,3653,3653.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0004904008,WS:ISIN:TW0004904008,XTAI,4904,4904.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0006505001,WS:ISIN:TW0006505001,XTAI,6505,6505.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:ISIN:TW0008046004,WS:ISIN:TW0008046004,XTAI,8046,8046.TW,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:XASX:ALD,WS:XASX:ALD,XASX,ALD,ALD.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:ALL,WS:XASX:ALL,XASX,ALL,ALL.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:ALQ,WS:XASX:ALQ,XASX,ALQ,ALQ.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,ANZ.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:ASX,WS:XASX:ASX,XASX,ASX,ASX.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:AZJ,WS:XASX:AZJ,XASX,AZJ,AZJ.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:BHP,WS:XASX:BHP,XASX,BHP,BHP.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,BSL.AX,PROVIDER_MAPPING_READY,YFINANCE_FREE_REUSED_MARKET_EVIDENCE_522,35905876433,NO
