WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XETR:SATG_P.DE,SRT3.DE,SARTORIUS PREF.,XETR,EUR,1.0,20,15693292.75,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:SDFGN.DE,SDF.DE,K + S,XETR,EUR,1.0,20,19755528.34,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:SHLG.DE,SHL.DE,SIEMENS HEALTHINEERS,XETR,EUR,1.0,20,27655113.4,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:SIEGN.DE,SIE.DE,SIEMENS,XETR,EUR,1.0,20,219579802.36,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:SY1G.DE,SY1.DE,SYMRISE,XETR,EUR,1.0,20,22052374.04,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:TEGG.DE,TEG.DE,TAG IMMOBILIEN AG,XETR,EUR,1.0,20,3850549.35,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XETR:TKAG.DE,TKA.DE,THYSSENKRUPP,XETR,EUR,1.0,20,27440996.24,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:TLXGN.DE,TLX.DE,TALANX,XETR,EUR,1.0,20,15797401.55,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:TUI1N.DE,TUI1.DE,TUI,XETR,EUR,1.0,20,19351195.64,STANDARD,OK,IDENTITY,2026-09-03
WS:XETR:VNAN.DE,VNA.DE,Vonovia SE,XETR,EUR,1.0,20,45140495.63,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:VOWG_P.DE,VOW3.DE,VOLKSWAGEN PREF,XETR,EUR,1.0,20,52760127.86,PREFERRED,OK,IDENTITY,2026-09-03
WS:XETR:ZALG.DE,ZAL.DE,ZALANDO,XETR,EUR,1.0,20,28815152.95,PREFERRED,OK,IDENTITY,2026-09-03
WS:XHEL:KCRA.HE,KCR.HE,KONECRANES,XHEL,EUR,1.0,20,7630677.91,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XHEL:NDAFI.HE,NDA-FI.HE,NORDEA BANK,XHEL,EUR,1.0,20,55219451.82,PREFERRED,OK,IDENTITY,2026-09-03
WS:XLON:ADML.L,ADM.L,ADMIRAL GRP,XLON,GBP,0.01,20,30491948.54,PREFERRED,OK,RESOLVED,2026-09-03
WS:XLON:AUTOA.L,AUTO.L,AUTOTRADER GROUP,XLON,GBP,0.01,20,16025043.81,STANDARD,OK,RESOLVED,2026-09-03
WS:XLON:BALF.L,BBY.L,BALFOUR BEATTY,XLON,GBP,0.01,20,8616901.5,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:BBOXT.L,BBOX.L,TRITAX BIG BOX REIT,XLON,GBP,0.01,20,13598057.13,LOW_EXCEPTION,OK,RESOLVED,2026-09-03
WS:XLON:BEZG.L,BEZ.L,BEAZLEY,XLON,GBP,0.01,20,31518005.02,PREFERRED,OK,RESOLVED,2026-09-03
