Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,raw_bar_count,valid_bar_count,invalid_bar_count,invalid_share,affected_dates,defect_reasons,stale_status,suspicious_return_count,suspicious_return_status,higher_priority_blocker_status,canonical_qa_status,canonical_qa_reason,filtered_policy_result,old_cache_state,old_reason,proposed_cache_state,proposed_reason,state_change_reason
62,WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,TITAN.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
63,WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,BAJFINANCE.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
64,WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,BHARTIARTL.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
65,WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,ADANIENT.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
66,WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,APOLLOHOSP.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
67,WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,TCS.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
68,WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,ULTRACEMCO.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
69,WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,COALINDIA,COALINDIA.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
70,WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,XNSE,MARUTI,MARUTI.NS,507,507,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
71,WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,XNSE,INDIGO,INDIGO.NS,506,506,0,0.0,,,NOT_STALE,0,NONE,NONE,READY,,PASS_CLEAN,READY,,READY,,UNCHANGED
