Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Coverage_Feasibility,Earliest_Blocker,Earliest_Failed_Gate,Sector_Taxonomy_Value_Materialized,Sector_Code_Value_Materialized,Sector_Name_Value_Materialized
82,WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,IN_NIFTY50,NOT_VERIFIED,DETERMINISTIC_WS_ID_LINKAGE_NOT_VERIFIED,E,NO,NO,NO
83,WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
84,WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
85,WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
86,WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
87,WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
88,WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
89,WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
90,WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
91,WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
92,WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
93,WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
94,WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
95,WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
96,WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
97,WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
98,WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
99,WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
100,WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,2382,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
101,WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,2383,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
102,WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,2395,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
103,WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
104,WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
105,WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
106,WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
107,WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,2603,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
108,WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,2880,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
109,WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,2881,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
110,WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,2882,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
111,WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,2883,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
112,WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,2884,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
113,WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,2885,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
114,WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,2886,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
115,WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,2887,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
116,WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,2890,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
117,WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,XTAI,2891,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
118,WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,XTAI,2892,TW_TW50,NOT_VERIFIED,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED,B,NO,NO,NO
