Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,Identity_Gate_Status,Deterministic_WS_ID_Proven,Reason
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,2882,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,2883,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,2884,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,2885,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,2886,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,2887,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,2890,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,XTAI,2891,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,XTAI,2892,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003008009,WS:ISIN:TW0003008009,XTAI,3008,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003017000,WS:ISIN:TW0003017000,XTAI,3017,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003037008,WS:ISIN:TW0003037008,XTAI,3037,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003045001,WS:ISIN:TW0003045001,XTAI,3045,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003231007,WS:ISIN:TW0003231007,XTAI,3231,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003443008,WS:ISIN:TW0003443008,XTAI,3443,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0003653002,WS:ISIN:TW0003653002,XTAI,3653,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0004904008,WS:ISIN:TW0004904008,XTAI,4904,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
WSSEC:WS:ISIN:TW0006505001,WS:ISIN:TW0006505001,XTAI,6505,TW_TW50,NOT_EVALUATED,NO,OFFICIAL_SECTOR_BULK_SOURCE_NOT_VERIFIED
