WS_ID,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Instrument_Gate_State,Mapping_Baseline_State,History_Evidence_State,Liquidity_Evidence_State,Scalable_Tradeability_Status,Refresh_Required,Refresh_Priority,Refresh_Action,Refresh_Prerequisite,Planned_Provider,Provider_Symbol_Current,Network_Required_In_Execution_Stage,Expected_Output,Reason
WS:ISIN:INE758E01017,IN_NIFTY50,XNSE,JIOFIN,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,JIOFIN,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE758T01015,IN_NIFTY50,XNSE,ETERNAL,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,ETERNAL,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE795G01014,IN_NIFTY50,XNSE,HDFCLIFE,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,HDFCLIFE,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE849A01020,IN_NIFTY50,XNSE,TRENT,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,TRENT,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE860A01027,IN_NIFTY50,XNSE,HCLTECH,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,HCLTECH,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE917I01010,IN_NIFTY50,XNSE,BAJAJ-AUTO,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,BAJAJ-AUTO,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:INE918I01026,IN_NIFTY50,XNSE,BAJAJFINSV,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,BAJAJFINSV,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:KYG022421088,TW_TW50,XTAI,3661,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,3661,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:KYG114741062,TW_TW50,XTAI,3665,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,3665,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
WS:ISIN:KYG989221000,TW_TW50,XTAI,4958,NOT_VERIFIED,MAPPING_PRESENT_NOT_REVALIDATED,HISTORY_NOT_CHECKED,LIQUIDITY_NOT_CHECKED,NOT_VERIFIED,true,P1,PRICE_HISTORY_AND_LIQUIDITY_REFRESH_REQUIRED,NONE,TO_BE_CONTROLLED,4958,true,CURRENT_ELIGIBILITY_INPUT,v0.37 offline prior evidence
