WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XETR:BNRGN.DE,,,XETR,,BNRGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,BNRGn.DE,BNRGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:CBKG.DE,,,XETR,,CBKG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,CBKG.DE,CBKG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:CONG.DE,,,XETR,,CONG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,CONG.DE,CONG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DB1GN.DE,,,XETR,,DB1Gn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DB1Gn.DE,DB1GN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,RESEARCH_ATTEMPTED_NO_VERIFIABLE_PAIR,UNRESOLVED,,,,Web search attempted 2026-09-02 for primary listing and Yahoo/provider pair; no sufficiently authoritative two-level match was established.,2026-09-02T18:50:00Z,UNRESOLVED_MANUAL,NO,,,PARTIAL
WS:XETR:DBKGN.DE,,,XETR,,DBKGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DBKGn.DE,DBKGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DHLN.DE,,,XETR,,DHLn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DHLn.DE,DHLN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DTEGN.DE,,,XETR,,DTEGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DTEGn.DE,DTEGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:DTGGE.DE,,,XETR,,DTGGe.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,DTGGe.DE,DTGGE.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:ENR1N.DE,,,XETR,,ENR1n.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ENR1n.DE,ENR1N.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:EONGN.DE,,,XETR,,EONGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,EONGn.DE,EONGN.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
