ISIN,Primary_MIC,Primary_Ticker,WS_ID,class
US85208M1027,XNAS,SFM,WS:XNAS:SFM,NEW
US4415931009,XNYS,HLI,WS:XNYS:HLI,NEW
US8290731053,XNYS,SSD,WS:XNYS:SSD,NEW
US8269191024,XNAS,SLAB,WS:XNAS:SLAB,NEW
US5533681012,XNYS,MP,WS:XNYS:MP,NEW
US8807791038,XNYS,TEX,WS:XNYS:TEX,NEW
US1858991011,XNYS,CLF,WS:XNYS:CLF,NEW
US0905722072,XNYS,BIO,WS:XNYS:BIO,NEW
US4282911084,XNYS,HXL,WS:XNYS:HXL,NEW
US5764852050,XNYS,MTDR,WS:XNYS:MTDR,NEW
US16359R1032,XNYS,CHE,WS:XNYS:CHE,NEW
IE00BLNN3691,XNAS,WFRD,WS:XNAS:WFRD,NEW
US6515871076,XNYS,NEU,WS:XNYS:NEU,NEW
US5534981064,XNYS,MSA,WS:XNYS:MSA,NEW
US4485791028,XNYS,H,WS:XNYS:H,NEW
US96208T1043,XNYS,WEX,WS:XNYS:WEX,NEW
US70438V1061,XNAS,PCTY,WS:XNAS:PCTY,NEW
US5528481030,XNYS,MTG,WS:XNYS:MTG,NEW
US29275Y1029,XNYS,ENS,WS:XNYS:ENS,NEW
US9197941076,XNAS,VLY,WS:XNAS:VLY,NEW
US1167941087,XNAS,BRKR,WS:XNAS:BRKR,NEW
US5165441032,XNAS,LNTH,WS:XNAS:LNTH,NEW
US3025201019,XNYS,FNB,WS:XNYS:FNB,NEW
US5218652049,XNYS,LEA,WS:XNYS:LEA,NEW
US0936711052,XNYS,HRB,WS:XNYS:HRB,NEW
US0028962076,XNYS,ANF,WS:XNYS:ANF,NEW
BMG3198U1027,XNYS,ESNT,WS:XNYS:ESNT,NEW
US4571871023,XNYS,INGR,WS:XNYS:INGR,NEW
US6866881021,XNYS,ORA,WS:XNYS:ORA,NEW
US26603R1068,XNAS,DUOL,WS:XNAS:DUOL,NEW
US9099071071,XNAS,UBSI,WS:XNAS:UBSI,NEW
US26856L1035,XNYS,ELF,WS:XNYS:ELF,NEW
US69318G1067,XNYS,PBF,WS:XNYS:PBF,NEW
US3614481030,XNYS,GATX,WS:XNYS:GATX,NEW
US69349H1077,XNYS,TXNM,WS:XNYS:TXNM,NEW
US1489291021,XNYS,CAVA,WS:XNYS:CAVA,NEW
US74758T3032,XNAS,QLYS,WS:XNAS:QLYS,NEW
US4101201097,XNAS,HWC,WS:XNAS:HWC,NEW
GB00BFMBMT84,XNYS,ST,WS:XNYS:ST,NEW
US26969P1084,XNYS,EXP,WS:XNYS:EXP,NEW
BMG3922B1072,XNYS,G,WS:XNYS:G,NEW
US1714841087,XNAS,CHDN,WS:XNAS:CHDN,NEW
US37637Q1058,XNYS,GBCI,WS:XNYS:GBCI,NEW
US55616P1049,XNYS,M,WS:XNYS:M,NEW
US5150981018,XNAS,LSTR,WS:XNAS:LSTR,NEW
US26701L1008,XNYS,BROS,WS:XNYS:BROS,NEW
US4330001060,XNYS,HIMS,WS:XNYS:HIMS,NEW
US7496071074,XNYS,RLI,WS:XNYS:RLI,NEW
US9037311076,XNYS,ULS,WS:XNYS:ULS,NEW
BMG9460G1015,XNYS,VAL,WS:XNYS:VAL,NEW
US1727551004,XNAS,CRUS,WS:XNAS:CRUS,NEW
US2270461096,XNAS,CROX,WS:XNAS:CROX,NEW
US16679L1098,XNYS,CHWY,WS:XNYS:CHWY,NEW
US8448951025,XNYS,SWX,WS:XNYS:SWX,NEW
US3020811044,XNAS,EXLS,WS:XNAS:EXLS,NEW
US7365088472,XNYS,POR,WS:XNYS:POR,NEW
US2041661024,XNAS,CVLT,WS:XNAS:CVLT,NEW
US4368932004,XNYS,HOMB,WS:XNYS:HOMB,NEW
