WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion,Remediation_Action,Automatic_Override_Created
WS:XETR:BMWG.DE,EU_STOXX600,XETR,BMWG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BMWG.DE,BMWG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:BNRGN.DE,EU_STOXX600,XETR,BNRGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,BNRGn.DE,BNRGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:CBKG.DE,EU_STOXX600,XETR,CBKG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,CBKG.DE,CBKG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:CONG.DE,EU_STOXX600,XETR,CONG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,CONG.DE,CONG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:DB1GN.DE,EU_STOXX600,XETR,DB1Gn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,DB1Gn.DE,DB1GN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:DBKGN.DE,EU_STOXX600,XETR,DBKGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,DBKGn.DE,DBKGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:DHLN.DE,EU_STOXX600,XETR,DHLn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,DHLn.DE,DHLN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:DTEGN.DE,EU_STOXX600,XETR,DTEGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,DTEGn.DE,DTEGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:DTGGE.DE,EU_STOXX600,XETR,DTGGe.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,DTGGe.DE,DTGGE.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:ENR1N.DE,EU_STOXX600,XETR,ENR1n.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,ENR1n.DE,ENR1N.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:EONGN.DE,EU_STOXX600,XETR,EONGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,EONGn.DE,EONGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:EVDG.DE,EU_STOXX600,XETR,EVDG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,EVDG.DE,EVDG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:EVKN.DE,EU_STOXX600,XETR,EVKn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,EVKn.DE,EVKN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:FMEG.DE,EU_STOXX600,XETR,FMEG.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,FMEG.DE,FMEG.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
WS:XETR:FNTGN.DE,EU_STOXX600,XETR,FNTGn.DE,EUR,MAPPING_PRESENT_NOT_REVALIDATED,FNTGn.DE,FNTGN.DE,DERIVED_RULE_NORMALIZED,REQUESTED,False,,,MAPPING_DOWNLOAD_NO_DATA,NO_DATA_IN_BATCH,False,True,MANUAL_OVERRIDE_OR_PROVIDER_MAPPING_REVIEW,False
