WS_ID,Primary_MIC,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Liquidity_Last_Session,Usable_Sessions20,FX_Coverage20,MedianTurnover20_EUR,Liquidity_Current_State,Liquidity_Current_Gate,Prior_Liquidity_State,FX_Status,Evidence_AsOf
WS:XAMS:VOPA.AS,XAMS,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XAMS:WLSNC.AS,XAMS,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XBRU:ABI.BR,XBRU,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XBRU:ACKB.BR,XBRU,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XBRU:AGES.BR,XBRU,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XBRU:AOO.BR,XBRU,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
WS:XBRU:ARGX.BR,XBRU,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XBRU:ELI.BR,XBRU,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XBRU:GBLB.BR,XBRU,EUR,EUR,1.0,2026-08-28,0,0,,LIQUIDITY_FX_UNRESOLVED,NOT_COMPUTED,,FX_UNRESOLVED,2026-08-31
WS:XBRU:IETB.BR,XBRU,EUR,EUR,1.0,,0,0,,LIQUIDITY_DATA_INSUFFICIENT,NOT_COMPUTED,,NOT_APPLICABLE,2026-08-31
