WS_ID,Session_Date,Raw_Close,Raw_Volume,Quote_Scale_To_Major_Currency,Currency_Normalized,Turnover_Native_Major,FX_to_EUR,FX_Source_Symbol,FX_Date_Used,FX_Lag_Days,Turnover_EUR,Usable_For_Median20
WS:XSHE:002532,2026-08-27,13.0,73538293.0,1.0,CNY,955997809.0,0.12762199342250824,,2026-08-27,0,122006346.09213029,True
WS:XSHE:002532,2026-08-28,13.170000076293945,69432837.0,1.0,CNY,914430468.5873051,0.12763899564743042,,2026-08-28,0,116716986.5998928,True
WS:XSHE:002532,2026-08-31,13.210000038146973,55761428.0,1.0,CNY,736608466.0071297,0.12825900316238403,,2026-08-31,0,94476667.57104729,True
WS:XSHE:002558,2026-08-04,29.940000534057617,125653485.0,1.0,CNY,3762065408.006201,0.12868499755859375,,2026-08-04,0,484121377.8445479,True
WS:XSHE:002558,2026-08-05,30.06999969482422,106834279.0,1.0,CNY,3212506736.9267654,0.1283939927816391,,2026-08-05,0,412466566.7919421,True
WS:XSHE:002558,2026-08-06,29.260000228881836,110964530.0,1.0,CNY,3246822173.1977654,0.1281840056180954,,2026-08-06,0,416190671.69013906,True
WS:XSHE:002558,2026-08-07,29.34000015258789,90660367.0,1.0,CNY,2659975181.613674,0.12857599556446075,,2026-08-07,0,342008957.1527355,True
WS:XSHE:002558,2026-08-10,29.790000915527344,74094597.0,1.0,CNY,2207278112.4656296,0.12824200093746185,,2026-08-10,0,283065761.7680563,True
WS:XSHE:002558,2026-08-11,28.700000762939453,77055506.0,1.0,CNY,2211493080.9886856,0.12835000455379486,,2026-08-11,0,283845147.01558363,True
WS:XSHE:002558,2026-08-12,28.770000457763672,51230249.0,1.0,CNY,1473894287.181347,0.1284099966287613,,2026-08-12,0,189262760.44810727,True
WS:XSHE:002558,2026-08-13,28.56999969482422,65144855.0,1.0,CNY,1861188487.469368,0.12862099707126617,,2026-08-13,0,239387918.9958719,True
WS:XSHE:002558,2026-08-14,28.84000015258789,85737046.0,1.0,CNY,2472656419.722435,0.12856599688529968,,2026-08-14,0,317899537.55645084,True
WS:XSHE:002558,2026-08-17,27.190000534057617,112871231.0,1.0,CNY,3068968831.1697407,0.1281290054321289,,2026-08-17,0,393223924.039982,True
