WS_ID,Segment_ID,Primary_MIC,Primary_Ticker,Primary_Currency,Prior_Mapping_State,Prior_Yahoo_Symbol,Candidate_Yahoo_Symbol,Mapping_Source,Stock_Data_Request,Data_Returned,First_Bar_Date,Last_Completed_Bar_Date,Mapping_Current_State,Mapping_Current_Reason,Mapping_Override_Used,No_Identity_Promotion
WS:ISIN:KYG022421088,TW_TW50,XTAI,3661,TWD,MAPPING_PRESENT_NOT_REVALIDATED,3661,3661.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:KYG114741062,TW_TW50,XTAI,3665,TWD,MAPPING_PRESENT_NOT_REVALIDATED,3665,3665.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:KYG989221000,TW_TW50,XTAI,4958,TWD,MAPPING_PRESENT_NOT_REVALIDATED,4958,4958.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0001216000,TW_TW50,XTAI,1216,TWD,MAPPING_PRESENT_NOT_REVALIDATED,1216,1216.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0001303006,TW_TW50,XTAI,1303,TWD,MAPPING_PRESENT_NOT_REVALIDATED,1303,1303.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002059003,TW_TW50,XTAI,2059,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2059,2059.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002301009,TW_TW50,XTAI,2301,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2301,2301.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002303005,TW_TW50,XTAI,2303,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2303,2303.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002308004,TW_TW50,XTAI,2308,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2308,2308.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
WS:ISIN:TW0002317005,TW_TW50,XTAI,2317,TWD,MAPPING_PRESENT_NOT_REVALIDATED,2317,2317.TW,DERIVED_RULE,REQUESTED,True,2024-09-02,2026-09-01,MAPPING_DATA_CONFIRMED,TECHNICAL_PROVIDER_SERIES_AVAILABLE,False,True
