Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Evidence_Cohort,Source_ID,Instrument_Type,History_State,History_Observation_Count,History_Valid_Observation_Count,Liquidity_State,Liquidity_Bucket,Usable20,MedianTurnover20_EUR,Eligibility_DryRun,Stage_U_Status
343,WSSEC:WS:XNAS:OKTA,WS:XNAS:OKTA,XNAS,OKTA,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,612812246.734115,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
344,WSSEC:WS:XNAS:OLED,WS:XNAS:OLED,XNAS,OLED,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,53257048.545296,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
345,WSSEC:WS:XNAS:OLLI,WS:XNAS:OLLI,XNAS,OLLI,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,113615175.612244,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
346,WSSEC:WS:XNAS:ON,WS:XNAS:ON,XNAS,ON,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,444225709.64,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
347,WSSEC:WS:XNAS:ONB,WS:XNAS:ONB,XNAS,ONB,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,75652122.059560,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
348,WSSEC:WS:XNAS:OPCH,WS:XNAS:OPCH,XNAS,OPCH,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,33635845.137296,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
349,WSSEC:WS:XNAS:ORLY,WS:XNAS:ORLY,XNAS,ORLY,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,328135556.17,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
350,WSSEC:WS:XNAS:OZK,WS:XNAS:OZK,XNAS,OZK,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,40165889.380777,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
351,WSSEC:WS:XNAS:PANW,WS:XNAS:PANW,XNAS,PANW,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,1647231815.39,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
352,WSSEC:WS:XNAS:PAYX,WS:XNAS:PAYX,XNAS,PAYX,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,226448313.08,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
353,WSSEC:WS:XNAS:PCAR,WS:XNAS:PCAR,XNAS,PCAR,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,270427959.86,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
354,WSSEC:WS:XNAS:PCTY,WS:XNAS:PCTY,XNAS,PCTY,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,75169956.803359,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
355,WSSEC:WS:XNAS:PEGA,WS:XNAS:PEGA,XNAS,PEGA,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,74579777.885287,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
356,WSSEC:WS:XNAS:PPC,WS:XNAS:PPC,XNAS,PPC,US2,US2_SP400_COMMON_ADMISSION,COMMON_STOCK,HISTORY_OK,500,500,LIQUIDITY_OK,PREFERRED,20,32922365.432159,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
357,WSSEC:WS:XNAS:PTC,WS:XNAS:PTC,XNAS,PTC,US1,US1_SP500_COMMON_EVIDENCE_GATE,COMMON_STOCK,HISTORY_OK,502,502,LIQUIDITY_OK,PREFERRED,20,146823343.57,PASS_STRICT_CANDIDATE,ELIGIBLE_INPUT
