WS_ID,Name,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,HKEX_Stock Code,HKEX_Name of Securities,HKEX_Category,HKEX_Sub-Category,HKEX_Board Lot,HKEX_ISIN,HKEX_Expiry Date,HKEX_Subject to Stamp Duty,HKEX_Shortsell Eligible,HKEX_CAS Eligible,HKEX_VCM Eligible,HKEX_Admitted to CCASS,HKEX_Debt Securities Board Lot (Nominal),HKEX_Debt Securities Investor Type,HKEX_POS Eligible,"HKEX_Spread Table
1 = Part A
3 = Part B
5 = Part D
4 & 6 = Part E",HKEX_Trading Currency,HKEX_RMB Counter,HKEX_Match_Key,HKEX_Match_Status
WS:XHKG:66,MTR CORPORATION,HK_HSI,XHKG,66,0066.HK,00066,MTR CORPORATION,Equity,Equity Securities (Main Board),500,HK0066009694,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00066,MATCHED
WS:XHKG:6618,JD HEALTH,HK_HSI,XHKG,6618,6618.HK,06618,JD HEALTH,Equity,Equity Securities (Main Board),50,KYG5074A1004,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,86618,06618,MATCHED
WS:XHKG:669,TECHTRONIC IND,HK_HSI,XHKG,669,0669.HK,00669,TECHTRONIC IND,Equity,Equity Securities (Main Board),500,HK0669013440,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00669,MATCHED
WS:XHKG:6690,HAIER SMARTHOME,HK_HSI,XHKG,6690,6690.HK,06690,HAIER SMARTHOME,Equity,Equity Securities (Main Board),200,CNE1000048K8,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,06690,MATCHED
WS:XHKG:688,CHINA OVERSEAS,HK_HSI,XHKG,688,0688.HK,00688,CHINA OVERSEAS,Equity,Equity Securities (Main Board),500,HK0688002218,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00688,MATCHED
WS:XHKG:700,TENCENT,HK_HSI,XHKG,700,0700.HK,00700,TENCENT,Equity,Equity Securities (Main Board),100,KYG875721634,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80700,00700,MATCHED
WS:XHKG:728,CHINA TELECOM,HK_HSI,XHKG,728,0728.HK,00728,CHINA TELECOM,Equity,Equity Securities (Main Board),"2,000",CNE1000002V2,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00728,MATCHED
WS:XHKG:762,CHINA UNICOM,HK_HSI,XHKG,762,0762.HK,00762,CHINA UNICOM,Equity,Equity Securities (Main Board),"2,000",HK0000049939,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00762,MATCHED
WS:XHKG:836,CHINA RES POWER,HK_HSI,XHKG,836,0836.HK,00836,CHINA RES POWER,Equity,Equity Securities (Main Board),"2,000",HK0836012952,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00836,MATCHED
WS:XHKG:857,PETROCHINA,HK_HSI,XHKG,857,0857.HK,00857,PETROCHINA,Equity,Equity Securities (Main Board),"2,000",CNE1000003W8,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00857,MATCHED
WS:XHKG:883,CNOOC,HK_HSI,XHKG,883,0883.HK,00883,CNOOC,Equity,Equity Securities (Main Board),"1,000",HK0883013259,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80883,00883,MATCHED
WS:XHKG:939,CCB,HK_HSI,XHKG,939,0939.HK,00939,CCB,Equity,Equity Securities (Main Board),"1,000",CNE1000002H1,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00939,MATCHED
WS:XHKG:941,CHINA MOBILE,HK_HSI,XHKG,941,0941.HK,00941,CHINA MOBILE,Equity,Equity Securities (Main Board),500,HK0941009539,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80941,00941,MATCHED
WS:XHKG:9618,JD - SW,HK_HSI,XHKG,9618,9618.HK,09618,JD-SW,Equity,Equity Securities (Main Board),50,KYG8208B1014,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,89618,09618,MATCHED
WS:XHKG:9633,NONGFU SPRING,HK_HSI,XHKG,9633,9633.HK,09633,NONGFU SPRING,Equity,Equity Securities (Main Board),200,CNE100004272,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,09633,MATCHED
WS:XHKG:981,SMIC,HK_HSI,XHKG,981,0981.HK,00981,SMIC,Equity,Equity Securities (Main Board),500,KYG8020E1199,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00981,MATCHED
WS:XHKG:9888,BIDU - SW,HK_HSI,XHKG,9888,9888.HK,09888,BIDU-SW,Equity,Equity Securities (Main Board),50,KYG070341048,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,89888,09888,MATCHED
WS:XHKG:9901,NEW ORIENTAL - S,HK_HSI,XHKG,9901,9901.HK,09901,NEW ORIENTAL-S,Equity,Equity Securities (Main Board),100,KYG6470A1168,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,09901,MATCHED
WS:XHKG:992,LENOVO GROUP,HK_HSI,XHKG,992,0992.HK,00992,LENOVO GROUP,Equity,Equity Securities (Main Board),"2,000",HK0992009065,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80992,00992,MATCHED
WS:XHKG:9961,TRIP.COM - S,HK_HSI,XHKG,9961,9961.HK,09961,TRIP.COM-S,Equity,Equity Securities (Main Board),50,KYG9066F1019,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,09961,MATCHED
WS:XHKG:9988,BABA - W,HK_HSI,XHKG,9988,9988.HK,09988,BABA-W,Equity,Equity Securities (Main Board),100,KYG017191142,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,89988,09988,MATCHED
WS:XHKG:9992,POP MART,HK_HSI,XHKG,9992,9992.HK,09992,POP MART,Equity,Equity Securities (Main Board),200,KYG7170M1033,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,09992,MATCHED
WS:XHKG:9999,NTES,HK_HSI,XHKG,9999,9999.HK,09999,NTES,Equity,Equity Securities (Main Board),100,KYG6427A1022,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,09999,MATCHED
