URL,Label
https://www.tmx.com/en,
https://www.tsx.com/en,Toronto Stock Exchange TSX Venture Exchange
https://money.tmx.com/en/,TMX Money
https://www.tsx.com/en/trading/market-data-and-statistics/market-statistics-and-reports/tsx-tsxv-moc-eligible-stocks#ms-tab-1,Find Quote
https://www.tsx.com/en/trading/market-data-and-statistics/market-statistics-and-reports/tsx-tsxv-moc-eligible-stocks#ms-tab-2,Search Site
https://money.tmx.com/en/,money.tmx.com
https://www.tsx.com/en,HOME
https://www.tsx.com/en/contact/public-company-reps,Contact the TSX Company Services team
https://www.tsx.com/en/contact/other-inquiries,Media inquiries
https://www.tsx.com/files/trading/moc-eligible-stocks.txt,full list of symbols (TXT)
https://www.tsx.com/en/trading/market-data-and-statistics/market-statistics-and-reports/tsx-tsxv-moc-eligible-stocks#top,Top
https://www.tsx.com/en/,Toronto Stock Exchange
https://www.tsx.com/en/,TSX Venture Exchange
https://www.tsxtrust.com/?lang=en,TSX Trust
https://www.newsfilecorp.com/,TMX Newsfile
https://www.m-x.ca/en/,Montréal Exchange
https://www.tsx.com/en/,TSX Alpha Exchange
https://www.tmxalphaus.com/,AlphaX US
https://www.shorcan.com/,Shorcan
https://www.cdcc.ca/en/,CDCC
https://www.cds.ca/?lang=en,CDS
https://www.tmxinfoservices.com/?lang=en,TMX Datalinx
https://www.trayport.com/,TMX Trayport
https://www.vettafi.com/,TMX VettaFi
https://www.tsx.com/en/contact,Contact Us
https://www.tsx.com/en/terms-of-use,Terms of Use
https://www.tsx.com/en/privacy-policy,Privacy Policy
https://www.tsx.com/en/accessibility,Accessibility
https://www.tsx.com/en/fraud,Fraud Prevention
https://x.com/TMXGroup,X
https://www.facebook.com/pages/TMX-Capital-Markets-Learning-Centre/144002475754218,Facebook
https://www.linkedin.com/company/tmx-group,LinkedIn
https://www.youtube.com/tmxgroup,YouTube
