ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XMIL:GASI.MI,GASI.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:HRA.MI,HRA.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:ITPG.MI,ITPG.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:LDOF.MI,LDOF.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:NEXII.MI,NEXII.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:RECI.MI,RECI.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:SPMI.MI,SPMI.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:TENR.MI,TENR.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:TLIT.MI,TLIT.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XMIL:UNPI.MI,UNPI.MI,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XOSL:GJFG.OL,GJFG.OL,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XOSL:KMAR.OL,KMAR.OL,DERIVED_RULE_NORMALIZED,QUARANTINE,INVALID_OHLC_OR_VOLUME,90,89,0,0,0.0,2026-04-23,2026-08-28,2026-09-01T04:50:04+00:00,YF-20260901T045004149351-78862e8c-R,NO_DATA_IN_BATCH
WS:XPAR:ABVX.PA,ABVX.PA,DERIVED_RULE_NORMALIZED,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,509,508,0,1,0.0,2024-09-02,2026-08-28,2026-09-01T04:50:04+00:00,YF-20260901T045004149351-78862e8c-R,NO_DATA_IN_BATCH
WS:XPAR:ACCP.PA,ACCP.PA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XPAR:AIRP.PA,AIRP.PA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XPAR:ALSO.PA,ALSO.PA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XPAR:AXAF.PA,AXAF.PA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
WS:XPAR:BIOX.PA,BIOX.PA,DERIVED_RULE_NORMALIZED,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-09-01T04:50:00+00:00,YF-20260901T044951222880-ea84d0a7,NO_DATA_IN_BATCH
