Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,feature_as_of_date,sync_cohort_size,peer_count,R20_num,R60_num,HomeMarket_PeerMedian_R20_v0_58,HomeMarket_PeerMedian_R60_v0_58,HomeMarket_RS20_Excess_v0_58,HomeMarket_RS60_Excess_v0_58,HomeMarket_RS_Reference_Type_v0_58
50,WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,IN_NIFTY50,2026-09-24,45,44,-0.094012345679012302,0.0122068965517241,-0.045520409097169645,-0.051158645413177703,-0.048491936581842657,0.063365541964901809,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
51,WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,IN_NIFTY50,2026-09-24,45,44,0.0065310556786506001,0.0018650082961078,-0.046003916079232252,-0.051158645413177703,0.052534971757882853,0.053023653709285502,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
52,WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,IN_NIFTY50,2026-09-24,45,44,0.019881074268532199,-0.107973494857662,-0.046003916079232252,-0.0499230339123201,0.065884990347764447,-0.0580504609453419,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
53,WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,IN_NIFTY50,2026-09-24,45,44,-0.075190575190575107,-0.046785714285714299,-0.045520409097169645,-0.051158645413177703,-0.029670166093405462,0.0043729311274634045,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
54,WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,IN_NIFTY50,2026-09-24,45,44,-0.1042943089573948,-0.060685254487047001,-0.045520409097169645,-0.0499230339123201,-0.058773899860225159,-0.010762220574726901,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
55,WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,IN_NIFTY50,2026-09-24,45,44,-0.0037174721189590998,-0.075543271326539901,-0.046003916079232252,-0.0499230339123201,0.042286443960273153,-0.025620237414219801,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
56,WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,IN_NIFTY50,2026-09-24,45,44,-0.066455696202531597,-0.1472756479526891,-0.045520409097169645,-0.0499230339123201,-0.020935287105361952,-0.097352614040369004,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
57,WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,IN_NIFTY50,2026-09-24,45,44,0.030172413793103401,0.0128835107629878,-0.046003916079232252,-0.051158645413177703,0.076176329872335649,0.064042156176165502,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
58,WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,IN_NIFTY50,2026-09-24,45,44,-0.045261696498161898,0.014275012224610001,-0.046003916079232252,-0.051158645413177703,0.00074221958107035385,0.065433657637787704,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
59,WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,IN_NIFTY50,2026-09-24,45,44,-0.055334394904458503,-0.12923820544632841,-0.045520409097169645,-0.0499230339123201,-0.0098139858072888581,-0.079315171534008314,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
