JSE_ISIN,JSE_Issuer_Name,JSE_Issue_Description,JSE_Number_of_Securities,JSE_Nominal_Value,JSE_Currency_Code,JSE_Instrument_Type,JSE_Alpha_Code,JSE_Instrument_Version,JSE_Legacy_Field,JSE_Issuer_Registration_Number,JSE_Issuer_Income_Tax_Number,JSE_Trailing
ZAE000307518,27Four Collective Investments (RF) (Pty) Ltd,27four Shariah Balanced Fund of Fund B5,000000000000000,0000000000000,ZAC,UT,SBFFB5,000,,2015/291620/07,,   
ZAE000307526,27Four Collective Investments (RF) (Pty) Ltd,27four Stable Fund of Funds B5,000000000000000,0000000000000,ZAC,UT,SFFB5,000,,2015/291620/07,,   
ZAE000307534,27Four Collective Investments (RF) (Pty) Ltd,27four Money Market Fund B5,000000000000000,0000000000000,ZAC,UT,MMFB5,000,,2015/291620/07,,   
ZAE000316618,27Four Collective Investments (RF) (Pty) Ltd,27four Balanced Fund of Fund B6,000000000000000,0000000000000,ZAC,UT,Z7FBB6,000,,2015/291620/07,,   
ZAE000272316,27Four Collective Investments (RF) (Pty) Ltd,ACI HIGH EQ Balanced Fund of Fds B1,000000000000000,0000000000000,ZAC,UT,ACIBB1,000,,2015/291620/07,,   
ZAE000276531,27Four Collective Investments (RF) (Pty) Ltd,Nedbank ITF Benguela Equity ACI Fund B2,000000000000000,0000000000000,ZAC,UT,BENGB2,000,,2015/291620/07,,   
ZAE000278958,27Four Collective Investments (RF) (Pty) Ltd,ACI Money Market Fund A2,000000000000000,0000000000000,ZAC,UT,ACIFA2,000,,2015/291620/07,,   
ZAE000279451,27Four Collective Investments (RF) (Pty) Ltd,Prowess Money Market 27four Fund B2,000000000000000,0000000000000,ZAC,UT,PRMMB2,000,,2015/291620/07,,   
ZAE000296836,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Equity 27four Fund A3,000000000000000,0000000000000,ZAC,UT,EXEFA3,000,,2015/291620/07,,   
ZAE000307476,27Four Collective Investments (RF) (Pty) Ltd,27four Balanced Fund of Fund B5,000000000000000,0000000000000,ZAC,UT,BFOFB5,000,,2015/291620/07,,   
ZAE000286563,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond 27four Fund A3,000000000000000,0000000000000,ZAC,UT,BALOA3,000,,2015/291620/07,,   
ZAE000286571,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond 27four Fund A4,000000000000000,0000000000000,ZAC,UT,BALOA4,000,,2015/291620/07,,   
ZAE000286589,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond ACI Fund A5,000000000000000,0000000000000,ZAC,UT,BALOA5,000,,2015/291620/07,,   
ZAE000286597,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond ACI Fund A6,000000000000000,0000000000000,ZAC,UT,BALOA6,000,,2015/291620/07,,   
ZAE000218624,27Four Collective Investments (RF) (Pty) Ltd,ACI Money Market Fd A1,000000000000000,0000000000000,ZAC,UT,ACIA1,000,,2015/291620/07,,   
ZAE000222915,27Four Collective Investments (RF) (Pty) Ltd,ACI Money Market Fd B3,000000000000000,0000000000000,ZAC,UT,AMFB3,000,,2015/291620/07,,   
