WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:BVMF:CMIN3,CMIN3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CMIN3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:SMFT3,SMFT3,,UNVERIFIED_EQUITY_SECURITY,Brazil,SMFT3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:MULT3,MULT3,,UNVERIFIED_EQUITY_SECURITY,Brazil,MULT3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:FLRY3,FLRY3,,UNVERIFIED_EQUITY_SECURITY,Brazil,FLRY3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:PSSA3,PSSA3,,UNVERIFIED_EQUITY_SECURITY,Brazil,PSSA3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:TAEE11,TAEE11,,UNVERIFIED_EQUITY_SECURITY,Brazil,TAEE11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:GOAU4,GOAU4,,UNVERIFIED_EQUITY_SECURITY,Brazil,GOAU4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CSAN3,CSAN3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CSAN3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CPFE3,CPFE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CPFE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:NATU3,NATU3,,UNVERIFIED_EQUITY_SECURITY,Brazil,NATU3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:HYPE3,HYPE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,HYPE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:SAPR11,SAPR11,,UNVERIFIED_EQUITY_SECURITY,Brazil,SAPR11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BRAV3,BRAV3,,UNVERIFIED_EQUITY_SECURITY,Brazil,BRAV3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CYRE3,CYRE3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CYRE3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:BRAP4,BRAP4,,UNVERIFIED_EQUITY_SECURITY,Brazil,BRAP4,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:IGTI11,IGTI11,,UNVERIFIED_EQUITY_SECURITY,Brazil,IGTI11,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
WS:BVMF:CURY3,CURY3,,UNVERIFIED_EQUITY_SECURITY,Brazil,CURY3,B3,BVMF,BRL,,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,UNMAPPED,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending
