Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Sector,Sector_Taxonomy,Sector_Source,Mapping_Status,Mapping_Authority,RS_Peer_Group_Eligibility,Sector_RS_Capability
82,WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
83,WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
84,WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
85,WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
86,WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
87,WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
88,WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
89,WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
90,WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
91,WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
92,WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
93,WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
94,WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
95,WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
96,WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
97,WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
98,WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
99,WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
100,WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,2382,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
101,WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,2383,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
102,WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,2395,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
103,WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
104,WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
105,WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
106,WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
107,WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,2603,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
108,WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,2880,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
109,WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,2881,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
110,WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,2882,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
111,WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,2883,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
112,WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,2884,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
113,WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,2885,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
114,WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,2886,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
115,WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,2887,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
116,WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,2890,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
