Security_Key,Source_WS_ID,Family,Constituents,Missing_Constituents,Binding_Status,Numeric_Family_Column_Created
WSSEC:WS:XASX:AZJ,WS:XASX:AZJ,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:BHP,WS:XASX:BHP,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:BSL,WS:XASX:BSL,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:BXB,WS:XASX:BXB,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:CAR,WS:XASX:CAR,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:CBA,WS:XASX:CBA,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:CMM,WS:XASX:CMM,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:COH,WS:XASX:COH,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:COL,WS:XASX:COL,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:CPU,WS:XASX:CPU,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:CSL,WS:XASX:CSL,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:CWY,WS:XASX:CWY,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:EVN,WS:XASX:EVN,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:FMG,WS:XASX:FMG,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
WSSEC:WS:XASX:GMD,WS:XASX:GMD,RECENT_IMPULSE_DESCRIPTORS,R5;R20;R60;DailyMove_Over_ATR14;RVOL20,,READY,NO
