Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,feature_as_of_date,latest_eligible_valid_date,eligible_rows_after_asof,Result
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,2603,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,2880,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,2881,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,2882,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,2883,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,2884,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,2885,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,2886,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,2887,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,2890,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,XTAI,2891,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,XTAI,2892,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003008009,WS:ISIN:TW0003008009,XTAI,3008,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003017000,WS:ISIN:TW0003017000,XTAI,3017,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003037008,WS:ISIN:TW0003037008,XTAI,3037,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003045001,WS:ISIN:TW0003045001,XTAI,3045,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003231007,WS:ISIN:TW0003231007,XTAI,3231,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003443008,WS:ISIN:TW0003443008,XTAI,3443,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0003653002,WS:ISIN:TW0003653002,XTAI,3653,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0004904008,WS:ISIN:TW0004904008,XTAI,4904,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0006505001,WS:ISIN:TW0006505001,XTAI,6505,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0008046004,WS:ISIN:TW0008046004,XTAI,8046,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XASX:ALD,WS:XASX:ALD,XASX,ALD,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ALL,WS:XASX:ALL,XASX,ALL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ALQ,WS:XASX:ALQ,XASX,ALQ,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ASX,WS:XASX:ASX,XASX,ASX,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:AZJ,WS:XASX:AZJ,XASX,AZJ,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:BHP,WS:XASX:BHP,XASX,BHP,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CAR,WS:XASX:CAR,XASX,CAR,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CMM,WS:XASX:CMM,XASX,CMM,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:COH,WS:XASX:COH,XASX,COH,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:COL,WS:XASX:COL,XASX,COL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CPU,WS:XASX:CPU,XASX,CPU,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CSL,WS:XASX:CSL,XASX,CSL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:CWY,WS:XASX:CWY,XASX,CWY,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:EVN,WS:XASX:EVN,XASX,EVN,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:FMG,WS:XASX:FMG,XASX,FMG,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:GMD,WS:XASX:GMD,XASX,GMD,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:IAG,WS:XASX:IAG,XASX,IAG,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:IGO,WS:XASX:IGO,XASX,IGO,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:JBH,WS:XASX:JBH,XASX,JBH,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:LTR,WS:XASX:LTR,XASX,LTR,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:LYC,WS:XASX:LYC,XASX,LYC,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MIN,WS:XASX:MIN,XASX,MIN,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MP1,WS:XASX:MP1,XASX,MP1,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MPL,WS:XASX:MPL,XASX,MPL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:MQG,WS:XASX:MQG,XASX,MQG,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:NAB,WS:XASX:NAB,XASX,NAB,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:NST,WS:XASX:NST,XASX,NST,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ORG,WS:XASX:ORG,XASX,ORG,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ORI,WS:XASX:ORI,XASX,ORI,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PDN,WS:XASX:PDN,XASX,PDN,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PLS,WS:XASX:PLS,XASX,PLS,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:PRU,WS:XASX:PRU,XASX,PRU,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:QBE,WS:XASX:QBE,XASX,QBE,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:REA,WS:XASX:REA,XASX,REA,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RHC,WS:XASX:RHC,XASX,RHC,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RIO,WS:XASX:RIO,XASX,RIO,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RMS,WS:XASX:RMS,XASX,RMS,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:RRL,WS:XASX:RRL,XASX,RRL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:S32,WS:XASX:S32,XASX,S32,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SFR,WS:XASX:SFR,XASX,SFR,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SHL,WS:XASX:SHL,XASX,SHL,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SIG,WS:XASX:SIG,XASX,SIG,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:STO,WS:XASX:STO,XASX,STO,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:SUN,WS:XASX:SUN,XASX,SUN,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:TLC,WS:XASX:TLC,XASX,TLC,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:TLS,WS:XASX:TLS,XASX,TLS,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:TLX,WS:XASX:TLX,XASX,TLX,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WBC,WS:XASX:WBC,XASX,WBC,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WDS,WS:XASX:WDS,XASX,WDS,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WES,WS:XASX:WES,XASX,WES,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WGX,WS:XASX:WGX,XASX,WGX,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WHC,WS:XASX:WHC,XASX,WHC,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WOW,WS:XASX:WOW,XASX,WOW,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:WTC,WS:XASX:WTC,XASX,WTC,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XASX:ZIP,WS:XASX:ZIP,XASX,ZIP,2026-09-22,2026-09-22,0,PASS
WSSEC:WS:XNAS:AAL,WS:XNAS:AAL,XNAS,AAL,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AAON,WS:XNAS:AAON,XNAS,AAON,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AAPL,WS:XNAS:AAPL,XNAS,AAPL,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ABNB,WS:XNAS:ABNB,XNAS,ABNB,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADBE,WS:XNAS:ADBE,XNAS,ADBE,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADI,WS:XNAS:ADI,XNAS,ADI,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADP,WS:XNAS:ADP,XNAS,ADP,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ADSK,WS:XNAS:ADSK,XNAS,ADSK,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AEIS,WS:XNAS:AEIS,XNAS,AEIS,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AKAM,WS:XNAS:AKAM,XNAS,AKAM,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:ALGM,WS:XNAS:ALGM,XNAS,ALGM,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:ALGN,WS:XNAS:ALGN,XNAS,ALGN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AMAT,WS:XNAS:AMAT,XNAS,AMAT,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AMGN,WS:XNAS:AMGN,XNAS,AMGN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AMKR,WS:XNAS:AMKR,XNAS,AMKR,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AMZN,WS:XNAS:AMZN,XNAS,AMZN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:APP,WS:XNAS:APP,XNAS,APP,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:APPF,WS:XNAS:APPF,XNAS,APPF,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:ARWR,WS:XNAS:ARWR,XNAS,ARWR,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AVAV,WS:XNAS:AVAV,XNAS,AVAV,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:AVGO,WS:XNAS:AVGO,XNAS,AVGO,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:AVT,WS:XNAS:AVT,XNAS,AVT,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:BHF,WS:XNAS:BHF,XNAS,BHF,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:BIIB,WS:XNAS:BIIB,XNAS,BIIB,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:BKNG,WS:XNAS:BKNG,XNAS,BKNG,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:XNAS:BMRN,WS:XNAS:BMRN,XNAS,BMRN,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:BRKR,WS:XNAS:BRKR,XNAS,BRKR,2026-09-21,2026-09-21,0,PASS
WSSEC:WS:XNAS:BSY,WS:XNAS:BSY,XNAS,BSY,2026-09-21,2026-09-21,0,PASS
