WS_ID,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_AsOf_UTC,Evidence_Status
WS:XSTO:SEBA.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SECTB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SECUB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SHBA.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SKAB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SKFB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SOBIV.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SSABB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SWECB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:SWEDA.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:TEL2B.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:TRELB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSTO:VOLVB.ST,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:ALCC.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:BKWB.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:COTNE.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:HBANC.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:ROPC.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:SIGNC.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XSWX:SRENH.S,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWAR:ACPP.WA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWAR:ALEP.WA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWAR:LPPP.WA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWAR:MILP.WA,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:ATSV.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:BAWG.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:ERST.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:OMVV.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:RBIV.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:VERB.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:VOES.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
WS:XWBO:WBSV.VI,,,,2026-09-02T18:17:22.110176+00:00,NOT_RESEARCHED
