WS_ID,Yahoo_Symbol,ISIN,Primary_MIC,Issuer,Admission_Status,History_State,Liquidity_Class,MedianTurnover20_EUR,Eligibility_DryRun,Universe_Write
US1:US30212P3038:XNAS,EXPE,US30212P3038,XNAS,Expedia Group,ADMIT,PASS,PREFERRED,379727409.95,ELIGIBLE,NO
US1:US3021301094:XNAS,EXPD,US3021301094,XNAS,Expeditors International,ADMIT,PASS,PREFERRED,117482345.67,ELIGIBLE,NO
US1:US30231G1022:XNYS,XOM,US30231G1022,XNYS,ExxonMobil,ADMIT,PASS,PREFERRED,1921899582.53,ELIGIBLE,NO
US1:US3156161024:XNAS,FFIV,US3156161024,XNAS,"F5, Inc.",ADMIT,PASS,PREFERRED,158511457.56,ELIGIBLE,NO
US1:US3030751057:XNYS,FDS,US3030751057,XNYS,FactSet,ADMIT,PASS,PREFERRED,172536829.46,ELIGIBLE,NO
US1:US3032501047:XNYS,FICO,US3032501047,XNYS,FICO,ADMIT,PASS,PREFERRED,240353256.27,ELIGIBLE,NO
US1:US3119001044:XNAS,FAST,US3119001044,XNAS,Fastenal,ADMIT,PASS,PREFERRED,267731079.96,ELIGIBLE,NO
US1:US31428X1063:XNYS,FDX,US31428X1063,XNYS,FedEx,ADMIT,PASS,PREFERRED,423411478.67,ELIGIBLE,NO
US1:US31488V1070:XNYS,FERG,US31488V1070,XNYS,Ferguson Enterprises,ADMIT,PASS,PREFERRED,308554792.1,ELIGIBLE,NO
US1:US31620M1062:XNYS,FIS,US31620M1062,XNYS,Fidelity National Information Services,ADMIT,PASS,PREFERRED,175675429.39,ELIGIBLE,NO
US1:US3364331070:XNAS,FSLR,US3364331070,XNAS,First Solar,ADMIT,PASS,PREFERRED,310282969.03,ELIGIBLE,NO
US1:US3379321074:XNYS,FE,US3379321074,XNYS,FirstEnergy,ADMIT,PASS,PREFERRED,142009822.0,ELIGIBLE,NO
US1:US3377381088:XNAS,FISV,US3377381088,XNAS,Fiserv,ADMIT,PASS,PREFERRED,258082421.25,ELIGIBLE,NO
US1:US3453708600:XNYS,F,US3453708600,XNYS,Ford Motor Company,ADMIT,PASS,PREFERRED,486431547.37,ELIGIBLE,NO
US1:US34959E1091:XNAS,FTNT,US34959E1091,XNAS,Fortinet,ADMIT,PASS,PREFERRED,544840910.14,ELIGIBLE,NO
US1:US34959J1088:XNYS,FTV,US34959J1088,XNYS,Fortive,ADMIT,PASS,PREFERRED,99087972.98,ELIGIBLE,NO
US1:US3546131018:XNYS,BEN,US3546131018,XNYS,Franklin Templeton Investments,ADMIT,PASS,PREFERRED,88640029.95,ELIGIBLE,NO
US1:US35671D8570:XNYS,FCX,US35671D8570,XNYS,Freeport-McMoRan,ADMIT,PASS,PREFERRED,780489584.16,ELIGIBLE,NO
US1:US3666511072:XNYS,IT,US3666511072,XNYS,Gartner,ADMIT,PASS,PREFERRED,198689876.51,ELIGIBLE,NO
US1:US36266G1076:XNAS,GEHC,US36266G1076,XNAS,GE HealthCare,ADMIT,PASS,PREFERRED,158692732.23,ELIGIBLE,NO
US1:US36828A1016:XNYS,GEV,US36828A1016,XNYS,GE Vernova,ADMIT,PASS,PREFERRED,1541358629.1,ELIGIBLE,NO
US1:US3687361044:XNYS,GNRC,US3687361044,XNYS,Generac Holdings Inc.,ADMIT,PASS,PREFERRED,151648419.31,ELIGIBLE,NO
US1:US3695501086:XNYS,GD,US3695501086,XNYS,General Dynamics,ADMIT,PASS,PREFERRED,267722021.49,ELIGIBLE,NO
US1:US37045V1008:XNYS,GM,US37045V1008,XNYS,General Motors,ADMIT,PASS,PREFERRED,367006382.65,ELIGIBLE,NO
US1:US3724601055:XNYS,GPC,US3724601055,XNYS,Genuine Parts Company,ADMIT,PASS,PREFERRED,119184393.14,ELIGIBLE,NO
US1:US3755581036:XNAS,GILD,US3755581036,XNAS,Gilead Sciences,ADMIT,PASS,PREFERRED,656490424.87,ELIGIBLE,NO
US1:US37940X1028:XNYS,GPN,US37940X1028,XNYS,Global Payments,ADMIT,PASS,PREFERRED,201034811.4,ELIGIBLE,NO
US1:US37959E1029:XNYS,GL,US37959E1029,XNYS,Globe Life,ADMIT,PASS,PREFERRED,66087308.55,ELIGIBLE,NO
US1:US38141G1040:XNYS,GS,US38141G1040,XNYS,Goldman Sachs,ADMIT,PASS,PREFERRED,1545407080.19,ELIGIBLE,NO
US1:US4062161017:XNYS,HAL,US4062161017,XNYS,Hindustan Aeronautics Limited,ADMIT,PASS,PREFERRED,298591718.35,ELIGIBLE,NO
US1:US4165151048:XNYS,HIG,US4165151048,XNYS,Q444110,ADMIT,PASS,PREFERRED,137967906.03,ELIGIBLE,NO
US1:US4180561072:XNAS,HAS,US4180561072,XNAS,Hays plc,ADMIT,PASS,PREFERRED,110026338.17,ELIGIBLE,NO
US1:US40412C1018:XNYS,HCA,US40412C1018,XNYS,HCA Healthcare,ADMIT,PASS,PREFERRED,410382429.67,ELIGIBLE,NO
US1:US8064071025:XNAS,HSIC,US8064071025,XNAS,Henry Schein,ADMIT,PASS,PREFERRED,67805240.71,ELIGIBLE,NO
US1:US4278661081:XNYS,HSY,US4278661081,XNYS,The Hershey Company,ADMIT,PASS,PREFERRED,170125042.72,ELIGIBLE,NO
US1:US42824C1099:XNYS,HPE,US42824C1099,XNYS,Hewlett Packard Enterprise,ADMIT,PASS,PREFERRED,723317827.07,ELIGIBLE,NO
