WS_ID,Yahoo_Symbol,Liquidity_Class,MedianTurnover20_EUR,Usable20,FX,Quote_Scale
US1:US6826801036:XNYS,OKE,PREFERRED,266350121.48,20,USDEUR=X,1
US1:US68902V1070:XNYS,OTIS,PREFERRED,192867690.6,20,USDEUR=X,1
US1:US6937181088:XNAS,PCAR,PREFERRED,270427959.86,20,USDEUR=X,1
US1:US6951561090:XNYS,PKG,PREFERRED,107628874.34,20,USDEUR=X,1
US1:US69608A1088:XNYS,PLTR,PREFERRED,4732004324.19,20,USDEUR=X,1
US1:US6974351057:XNAS,PANW,PREFERRED,1647231815.39,20,USDEUR=X,1
US1:US7010941042:XNYS,PH,PREFERRED,506411221.05,20,USDEUR=X,1
US1:US7043261079:XNAS,PAYX,PREFERRED,226448313.08,20,USDEUR=X,1
US1:US70450Y1038:XNAS,PYPL,PREFERRED,534380646.72,20,USDEUR=X,1
US1:US7134481081:XNYS,PEP,PREFERRED,750643084.04,20,USDEUR=X,1
US1:US7170811035:XNYS,PFE,PREFERRED,798440668.71,20,USDEUR=X,1
US1:US69331C1080:XNYS,PCG,PREFERRED,370621668.23,20,USDEUR=X,1
US1:US7181721090:XNYS,PM,PREFERRED,649325332.24,20,USDEUR=X,1
US1:US7185461040:XNYS,PSX,PREFERRED,558808669.2,20,USDEUR=X,1
US1:US7234841010:XNYS,PNW,PREFERRED,78666831.34,20,USDEUR=X,1
US1:US6934751057:XNYS,PNC,PREFERRED,287682965.97,20,USDEUR=X,1
US1:US6935061076:XNYS,PPG,PREFERRED,118033722.28,20,USDEUR=X,1
US1:US69351T1060:XNYS,PPL,PREFERRED,217985711.47,20,USDEUR=X,1
US1:US7427181091:XNYS,PG,PREFERRED,979104596.77,20,USDEUR=X,1
US1:US7433151039:XNYS,PGR,PREFERRED,359473458.42,20,USDEUR=X,1
US1:US7445731067:XNYS,PEG,PREFERRED,134307111.34,20,USDEUR=X,1
US1:US69370C1009:XNAS,PTC,PREFERRED,146823343.57,20,USDEUR=X,1
US1:US7458671010:XNYS,PHM,PREFERRED,130834613.35,20,USDEUR=X,1
US1:US74762E1029:XNYS,PWR,PREFERRED,573070489.71,20,USDEUR=X,1
US1:US7475251036:XNAS,QCOM,PREFERRED,1205260209.1,20,USDEUR=X,1
US1:US7512121010:XNYS,RL,PREFERRED,191827085.51,20,USDEUR=X,1
US1:US7547301090:XNYS,RJF,PREFERRED,160125498.35,20,USDEUR=X,1
US1:US75513E1010:XNYS,RTX,PREFERRED,693952926.19,20,USDEUR=X,1
US1:US75886F1075:XNAS,REGN,PREFERRED,480323461.33,20,USDEUR=X,1
US1:US7591EP1005:XNYS,RF,PREFERRED,179404963.44,20,USDEUR=X,1
US1:US7607591002:XNYS,RSG,PREFERRED,266545471.15,20,USDEUR=X,1
US1:US7611521078:XNYS,RMD,PREFERRED,263144293.11,20,USDEUR=X,1
US1:US7707001027:XNAS,HOOD,PREFERRED,1466708893.91,20,USDEUR=X,1
US1:US7739031091:XNYS,ROK,PREFERRED,233105660.84,20,USDEUR=X,1
