Issuer_Key,Primary_MIC,Canonical_WS_ID,Canonical_Ticker,ISIN,Group_N,Eligibility_DryRun,Note
Q459477,XNYS,US1:US31428X1063:XNYS,FDX,US31428X1063,1,ELIGIBLE,unapplied to 1633
Q624682,XNYS,US1:US31488V1070:XNYS,FERG,US31488V1070,1,ELIGIBLE,unapplied to 1633
Q1411295,XNYS,US1:US31620M1062:XNYS,FIS,US31620M1062,1,ELIGIBLE,unapplied to 1633
Q1138888,XNAS,US1:US3364331070:XNAS,FSLR,US3364331070,1,ELIGIBLE,unapplied to 1633
Q1419248,XNYS,US1:US3379321074:XNYS,FE,US3379321074,1,ELIGIBLE,unapplied to 1633
Q1420513,XNAS,US1:US3377381088:XNAS,FISV,US3377381088,1,ELIGIBLE,unapplied to 1633
Q44294,XNYS,US1:US3453708600:XNYS,F,US3453708600,1,ELIGIBLE,unapplied to 1633
Q2749364,XNAS,US1:US34959E1091:XNAS,FTNT,US34959E1091,1,ELIGIBLE,unapplied to 1633
Q27919383,XNYS,US1:US34959J1088:XNYS,FTV,US34959J1088,1,ELIGIBLE,unapplied to 1633
Q744683,XNYS,US1:US3546131018:XNYS,BEN,US3546131018,1,ELIGIBLE,unapplied to 1633
Q1453620,XNYS,US1:US35671D8570:XNYS,FCX,US35671D8570,1,ELIGIBLE,unapplied to 1633
Q174198,XNYS,US1:US3666511072:XNYS,IT,US3666511072,1,ELIGIBLE,unapplied to 1633
Q1152374,XNAS,US1:US36266G1076:XNAS,GEHC,US36266G1076,1,ELIGIBLE,unapplied to 1633
Q118957699,XNYS,US1:US36828A1016:XNYS,GEV,US36828A1016,1,ELIGIBLE,unapplied to 1633
Q5531627,XNYS,US1:US3687361044:XNYS,GNRC,US3687361044,1,ELIGIBLE,unapplied to 1633
Q502940,XNYS,US1:US3695501086:XNYS,GD,US3695501086,1,ELIGIBLE,unapplied to 1633
Q81965,XNYS,US1:US37045V1008:XNYS,GM,US37045V1008,1,ELIGIBLE,unapplied to 1633
Q5533818,XNYS,US1:US3724601055:XNYS,GPC,US3724601055,1,ELIGIBLE,unapplied to 1633
Q663596,XNAS,US1:US3755581036:XNAS,GILD,US3755581036,1,ELIGIBLE,unapplied to 1633
Q5570544,XNYS,US1:US37940X1028:XNYS,GPN,US37940X1028,1,ELIGIBLE,unapplied to 1633
Q5570993,XNYS,US1:US37959E1029:XNYS,GL,US37959E1029,1,ELIGIBLE,unapplied to 1633
