WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XSHE:002202,002202.SZ,EXPLICIT,002202,XSHE,CNY
WS:US:TTMI,TTMI,EXPLICIT,TTMI,,USD
WS:US:PCAR,PCAR,EXPLICIT,PCAR,,USD
WS:XSHE:300033,300033.SZ,EXPLICIT,300033,XSHE,CNY
WS:US:ZTS,ZTS,EXPLICIT,ZTS,,USD
WS:US:FLEX,FLEX,EXPLICIT,FLEX,,USD
WS:XSHG:600460,600460.SS,EXPLICIT,600460,XSHG,CNY
WS:US:HBAN,HBAN,EXPLICIT,HBAN,,USD
WS:US:BKR,BKR,EXPLICIT,BKR,,USD
WS:XTKS:6501,6501.T,EXPLICIT,6501,XTKS,JPY
WS:US:MKSI,MKSI,EXPLICIT,MKSI,,USD
WS:US:TT,TT,EXPLICIT,TT,,USD
WS:US:CL,CL,EXPLICIT,CL,,USD
WS:XSHE:000338,000338.SZ,EXPLICIT,000338,XSHE,CNY
WS:XSHG:688111,688111.SS,EXPLICIT,688111,XSHG,CNY
WS:US:FISV,FISV,EXPLICIT,FISV,,USD
WS:US:XEL,XEL,EXPLICIT,XEL,,USD
WS:US:YUM,YUM,EXPLICIT,YUM,,USD
WS:US:ECL,ECL,EXPLICIT,ECL,,USD
WS:US:BNY,BNY,EXPLICIT,BNY,,USD
WS:US:NSC,NSC,EXPLICIT,NSC,,USD
WS:XSHE:000100,000100.SZ,EXPLICIT,000100,XSHE,CNY
WS:US:USB,USB,EXPLICIT,USB,,USD
WS:US:KDP,KDP,EXPLICIT,KDP,,USD
WS:US:CTAS,CTAS,EXPLICIT,CTAS,,USD
WS:US:FN,FN,EXPLICIT,FN,,USD
WS:US:EOG,EOG,EXPLICIT,EOG,,USD
WS:US:TPR,TPR,EXPLICIT,TPR,,USD
WS:XTKS:6758,6758.T,EXPLICIT,6758,XTKS,JPY
WS:US:HPQ,HPQ,EXPLICIT,HPQ,,USD
WS:US:AMT,AMT,EXPLICIT,AMT,,USD
WS:XSHE:002938,002938.SZ,EXPLICIT,002938,XSHE,CNY
WS:US:MTSI,MTSI,EXPLICIT,MTSI,,USD
WS:US:MSCI,MSCI,EXPLICIT,MSCI,,USD
WS:US:WBS,WBS,EXPLICIT,WBS,,USD
WS:US:ILMN,ILMN,EXPLICIT,ILMN,,USD
