Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Required_Canonical_NonFinite_Count,Affected_Features
WSSEC:WS:XNAS:FANG,WS:XNAS:FANG,XNAS,FANG,0,
WSSEC:WS:XNAS:FAST,WS:XNAS:FAST,XNAS,FAST,0,
WSSEC:WS:XNAS:FCFS,WS:XNAS:FCFS,XNAS,FCFS,0,
WSSEC:WS:XNAS:FFIN,WS:XNAS:FFIN,XNAS,FFIN,0,
WSSEC:WS:XNAS:FFIV,WS:XNAS:FFIV,XNAS,FFIV,0,
WSSEC:WS:XNAS:FISV,WS:XNAS:FISV,XNAS,FISV,0,
WSSEC:WS:XNAS:FIVE,WS:XNAS:FIVE,XNAS,FIVE,0,
WSSEC:WS:XNAS:FSLR,WS:XNAS:FSLR,XNAS,FSLR,0,
WSSEC:WS:XNAS:FTNT,WS:XNAS:FTNT,XNAS,FTNT,0,
WSSEC:WS:XNAS:GEHC,WS:XNAS:GEHC,XNAS,GEHC,0,
WSSEC:WS:XNAS:GILD,WS:XNAS:GILD,XNAS,GILD,0,
WSSEC:WS:XNAS:GNTX,WS:XNAS:GNTX,XNAS,GNTX,0,
WSSEC:WS:XNAS:HALO,WS:XNAS:HALO,XNAS,HALO,0,
WSSEC:WS:XNAS:HAS,WS:XNAS:HAS,XNAS,HAS,0,
WSSEC:WS:XNAS:HLNE,WS:XNAS:HLNE,XNAS,HLNE,0,
WSSEC:WS:XNAS:HOOD,WS:XNAS:HOOD,XNAS,HOOD,0,
WSSEC:WS:XNAS:HQY,WS:XNAS:HQY,XNAS,HQY,0,
WSSEC:WS:XNAS:HSIC,WS:XNAS:HSIC,XNAS,HSIC,0,
WSSEC:WS:XNAS:HWC,WS:XNAS:HWC,XNAS,HWC,0,
WSSEC:WS:XNAS:IBKR,WS:XNAS:IBKR,XNAS,IBKR,0,
WSSEC:WS:XNAS:IBOC,WS:XNAS:IBOC,XNAS,IBOC,0,
WSSEC:WS:XNAS:IDCC,WS:XNAS:IDCC,XNAS,IDCC,0,
WSSEC:WS:XNAS:IDXX,WS:XNAS:IDXX,XNAS,IDXX,0,
WSSEC:WS:XNAS:IESC,WS:XNAS:IESC,XNAS,IESC,0,
WSSEC:WS:XNAS:ILMN,WS:XNAS:ILMN,XNAS,ILMN,0,
WSSEC:WS:XNAS:INCY,WS:XNAS:INCY,XNAS,INCY,0,
WSSEC:WS:XNAS:INTC,WS:XNAS:INTC,XNAS,INTC,0,
WSSEC:WS:XNAS:INTU,WS:XNAS:INTU,XNAS,INTU,0,
WSSEC:WS:XNAS:IPGP,WS:XNAS:IPGP,XNAS,IPGP,0,
WSSEC:WS:XNAS:ISRG,WS:XNAS:ISRG,XNAS,ISRG,0,
WSSEC:WS:XNAS:JAZZ,WS:XNAS:JAZZ,XNAS,JAZZ,0,
WSSEC:WS:XNAS:JBHT,WS:XNAS:JBHT,XNAS,JBHT,0,
WSSEC:WS:XNAS:JKHY,WS:XNAS:JKHY,XNAS,JKHY,0,
WSSEC:WS:XNAS:KHC,WS:XNAS:KHC,XNAS,KHC,0,
WSSEC:WS:XNAS:KLAC,WS:XNAS:KLAC,XNAS,KLAC,0,
WSSEC:WS:XNAS:KRYS,WS:XNAS:KRYS,XNAS,KRYS,0,
WSSEC:WS:XNAS:KTOS,WS:XNAS:KTOS,XNAS,KTOS,0,
WSSEC:WS:XNAS:LECO,WS:XNAS:LECO,XNAS,LECO,0,
WSSEC:WS:XNAS:LFUS,WS:XNAS:LFUS,XNAS,LFUS,0,
WSSEC:WS:XNAS:LITE,WS:XNAS:LITE,XNAS,LITE,0,
