WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XTSE:ABX,ABX.TO,EXPLICIT,ABX,XTSE,CAD
WS:XTSE:AC,AC.TO,EXPLICIT,AC,XTSE,CAD
WS:XTSE:ACO.X,ACO-X.TO,EXPLICIT,ACO.X,XTSE,CAD
WS:XTSE:AEM,AEM.TO,EXPLICIT,AEM,XTSE,CAD
WS:XTSE:AG,AG.TO,EXPLICIT,AG,XTSE,CAD
WS:XTSE:AGI,AGI.TO,EXPLICIT,AGI,XTSE,CAD
WS:XTSE:AIF,AIF.TO,EXPLICIT,AIF,XTSE,CAD
WS:XTSE:ALA,ALA.TO,EXPLICIT,ALA,XTSE,CAD
WS:XTSE:ALS,ALS.TO,EXPLICIT,ALS,XTSE,CAD
WS:XTSE:AP.UN,AP-UN.TO,EXPLICIT,AP.UN,XTSE,CAD
WS:XTSE:AQN,AQN.TO,EXPLICIT,AQN,XTSE,CAD
WS:XTSE:ARE,ARE.TO,EXPLICIT,ARE,XTSE,CAD
WS:XTSE:ARIS,ARIS.TO,EXPLICIT,ARIS,XTSE,CAD
WS:XTSE:ARX,ARX.TO,EXPLICIT,ARX,XTSE,CAD
WS:XTSE:ASM,ASM.TO,EXPLICIT,ASM,XTSE,CAD
WS:XTSE:ATD,ATD.TO,EXPLICIT,ATD,XTSE,CAD
WS:XTSE:ATH,ATH.TO,EXPLICIT,ATH,XTSE,CAD
WS:XTSE:ATRL,ATRL.TO,EXPLICIT,ATRL,XTSE,CAD
WS:XTSE:ATS,ATS.TO,EXPLICIT,ATS,XTSE,CAD
WS:XTSE:ATZ,ATZ.TO,EXPLICIT,ATZ,XTSE,CAD
WS:XTSE:AYA,AYA.TO,EXPLICIT,AYA,XTSE,CAD
WS:XTSE:BAM,BAM.TO,EXPLICIT,BAM,XTSE,CAD
WS:XTSE:BB,BB.TO,EXPLICIT,BB,XTSE,CAD
WS:XTSE:BBD.B,BBD-B.TO,EXPLICIT,BBD.B,XTSE,CAD
